MSOA21CD,MSOA21NM,IMD_Decile_Mean,LSOA_Count
E02000334,Greenwich 022,4.5,4
E02000335,Greenwich 023,8.0,4
E02000337,Greenwich 025,3.2,5
E02000339,Greenwich 027,6.25,4
E02000340,Greenwich 028,6.5,4
E02000341,Greenwich 029,2.4,5
E02000342,Greenwich 030,5.0,3
E02000343,Greenwich 031,4.25,4
E02000344,Greenwich 032,7.0,4
E02000345,Hackney 001,1.0,5
E02000346,Hackney 002,3.2,5
E02000347,Hackney 003,1.4,5
E02000348,Hackney 004,1.0,5
E02000350,Hackney 006,3.6,5
E02000351,Hackney 007,4.0,6
E02000352,Hackney 008,4.0,4
E02000353,Hackney 009,5.2,5
E02000354,Hackney 010,2.8333333333333335,6
E02000355,Hackney 011,3.6,5
E02000356,Hackney 012,5.25,4
E02000357,Hackney 013,2.0,4
E02000358,Hackney 014,3.3333333333333335,6
E02000359,Hackney 015,4.0,4
E02000360,Hackney 016,2.3333333333333335,6
E02000361,Hackney 017,2.25,4
E02000362,Hackney 018,2.25,4
E02000363,Hackney 019,1.8333333333333333,6
E02000364,Hackney 020,3.8333333333333335,6
E02000366,Hackney 022,2.6,5
E02000367,Hackney 023,3.5,6
E02000368,Hackney 024,2.8333333333333335,6
E02000369,Hackney 025,4.0,8
E02000370,Hackney 026,4.333333333333333,6
E02000372,Hammersmith and Fulham 001,2.8333333333333335,6
E02000373,Hammersmith and Fulham 002,2.25,4
E02000374,Hammersmith and Fulham 003,4.0,4
E02000375,Hammersmith and Fulham 004,3.75,4
E02000376,Hammersmith and Fulham 005,3.25,4
E02000377,Hammersmith and Fulham 006,4.2,5
E02000378,Hammersmith and Fulham 007,4.5,4
E02000379,Hammersmith and Fulham 008,6.75,4
E02000380,Hammersmith and Fulham 009,6.0,4
E02000381,Hammersmith and Fulham 010,5.6,5
E02000382,Hammersmith and Fulham 011,6.0,4
E02000383,Hammersmith and Fulham 012,5.333333333333333,6
E02000384,Hammersmith and Fulham 013,3.6,5
E02000385,Hammersmith and Fulham 014,5.75,4
E02000386,Hammersmith and Fulham 015,3.2,5
E02000387,Hammersmith and Fulham 016,4.5,4
E02000388,Hammersmith and Fulham 017,5.0,5
E02000389,Hammersmith and Fulham 018,7.6,5
E02000390,Hammersmith and Fulham 019,5.0,4
E02000391,Hammersmith and Fulham 020,6.0,5
E02000392,Hammersmith and Fulham 021,5.5,6
E02000393,Hammersmith and Fulham 022,7.75,4
E02000394,Hammersmith and Fulham 023,6.0,6
E02000395,Hammersmith and Fulham 024,7.5,4
E02000396,Hammersmith and Fulham 025,5.75,4
E02000397,Haringey 001,2.5,4
E02000398,Haringey 002,1.0,4
E02000400,Haringey 004,3.75,4
E02000401,Haringey 005,1.75,4
E02000402,Haringey 006,1.25,4
E02000403,Haringey 007,2.5,4
E02000404,Haringey 008,2.25,4
E02000405,Haringey 009,8.0,4
E02000406,Haringey 010,2.0,4
E02000407,Haringey 011,1.5,4
E02000408,Haringey 012,2.0,4
E02000409,Haringey 013,2.25,4
E02000410,Haringey 014,8.0,4
E02000411,Haringey 015,3.0,5
E02000412,Haringey 016,1.75,4
E02000413,Haringey 017,7.5,4
E02000414,Haringey 018,2.25,4
E02000415,Haringey 019,3.5,4
E02000416,Haringey 020,3.6666666666666665,6
E02000417,Haringey 021,8.0,4
E02000418,Haringey 022,8.0,4
E02000419,Haringey 023,4.0,4
E02000420,Haringey 024,2.25,4
E02000421,Haringey 025,1.75,4
E02000422,Haringey 026,2.0,4
E02000423,Haringey 027,3.75,4
E02000424,Haringey 028,5.25,4
E02000425,Haringey 029,1.25,4
E02000426,Haringey 030,7.25,4
E02000427,Haringey 031,3.75,4
E02000428,Haringey 032,2.0,4
E02000429,Haringey 033,8.0,4
E02000430,Haringey 034,6.75,4
E02000431,Haringey 035,7.5,4
E02000432,Haringey 036,4.5,4
E02000433,Harrow 001,6.75,4
E02000434,Harrow 002,5.5,6
E02000435,Harrow 003,4.75,4
E02000436,Harrow 004,9.25,4
E02000437,Harrow 005,5.2,5
E02000438,Harrow 006,6.2,5
E02000439,Harrow 007,4.2,5
E02000440,Harrow 008,6.8,5
E02000441,Harrow 009,6.25,4
E02000442,Harrow 010,5.0,5
E02000443,Harrow 011,3.6,5
E02000444,Harrow 012,6.0,5
E02000445,Harrow 013,3.5,6
E02000447,Harrow 015,8.0,5
E02000448,Harrow 016,8.5,4
E02000449,Harrow 017,4.8,5
E02000451,Harrow 019,8.75,4
E02000452,Harrow 020,4.25,4
E02000453,Harrow 021,6.0,4
E02000454,Harrow 022,9.75,4
E02000455,Harrow 023,5.428571428571429,7
E02000456,Harrow 024,6.5,4
E02000457,Harrow 025,7.5,4
E02000459,Harrow 027,4.2,5
E02000460,Harrow 028,4.25,4
E02000461,Harrow 029,6.75,4
E02000462,Harrow 030,4.5,4
E02000463,Harrow 031,4.4,5
E02000464,Havering 001,3.25,4
E02000465,Havering 002,3.6,5
E02000466,Havering 003,4.4,5
E02000467,Havering 004,2.0,6
E02000468,Havering 005,5.4,5
E02000469,Havering 006,3.5,4
E02000470,Havering 007,7.0,6
E02000471,Havering 008,8.8,5
E02000472,Havering 009,7.166666666666667,6
E02000473,Havering 010,7.5,6
E02000474,Havering 011,5.6,5
E02000475,Havering 012,7.5,6
E02000476,Havering 013,3.6,5
E02000477,Havering 014,9.166666666666666,6
E02000478,Havering 015,9.5,4
E02000479,Havering 016,4.8,5
E02000480,Havering 017,4.875,8
E02000481,Havering 018,8.4,5
E02000482,Havering 019,10.0,4
E02000483,Havering 020,6.6,5
E02000484,Havering 021,8.4,5
E02000485,Havering 022,7.4,5
E02000486,Havering 023,7.8,5
E02000487,Havering 024,9.8,5
E02000488,Havering 025,9.4,5
E02000489,Havering 026,6.4,5
E02000490,Havering 027,6.2,5
E02000491,Havering 028,4.2,5
E02000492,Havering 029,6.25,4
E02000493,Havering 030,4.5,4
E02000494,Hillingdon 001,8.2,5
E02000495,Hillingdon 002,6.666666666666667,6
E02000496,Hillingdon 003,4.2,5
E02000497,Hillingdon 004,6.8,5
E02000498,Hillingdon 005,7.25,4
E02000499,Hillingdon 006,8.8,5
E02000500,Hillingdon 007,8.8,5
E02000501,Hillingdon 008,8.6,5
E02000502,Hillingdon 009,8.0,5
E02000503,Hillingdon 010,9.0,5
E02000504,Hillingdon 011,9.6,5
E02000506,Hillingdon 013,8.2,5
E02000507,Hillingdon 014,6.6,5
E02000508,Hillingdon 015,6.285714285714286,7
E02000509,Hillingdon 016,4.4,5
E02000510,Hillingdon 017,6.0,5
E02000511,Hillingdon 018,4.666666666666667,6
E02000512,Hillingdon 019,3.2,5
E02000513,Hillingdon 020,2.8,5
E02000514,Hillingdon 021,4.0,6
E02000515,Hillingdon 022,4.0,7
E02000516,Hillingdon 023,4.2,5
E02000517,Hillingdon 024,2.8,5
E02000518,Hillingdon 025,3.2,5
E02000519,Hillingdon 026,3.0,5
E02000520,Hillingdon 027,3.5,8
E02000521,Hillingdon 028,3.0,6
E02000522,Hillingdon 029,3.2,5
E02000523,Hillingdon 030,3.6666666666666665,6
E02000524,Hillingdon 031,2.75,4
E02000525,Hillingdon 032,2.6,5
E02000526,Hounslow 001,7.6,5
E02000529,Hounslow 004,3.2,5
E02000530,Hounslow 005,2.0,4
E02000531,Hounslow 006,4.5,6
E02000532,Hounslow 007,6.5,6
E02000533,Hounslow 008,6.0,5
E02000534,Hounslow 009,6.5,4
E02000535,Hounslow 010,4.0,5
E02000536,Hounslow 011,3.8,5
E02000537,Hounslow 012,5.2,5
E02000538,Hounslow 013,3.2,5
E02000539,Hounslow 014,4.5,6
E02000540,Hounslow 015,4.666666666666667,6
E02000541,Hounslow 016,2.6,5
E02000542,Hounslow 017,3.0,6
E02000543,Hounslow 018,3.2857142857142856,7
E02000544,Hounslow 019,6.4,5
E02000545,Hounslow 020,4.4,5
E02000546,Hounslow 021,3.6,5
E02000547,Hounslow 022,3.4,5
E02000548,Hounslow 023,2.6,5
E02000549,Hounslow 024,3.5,6
E02000550,Hounslow 025,3.5,6
E02000551,Hounslow 026,2.2,5
E02000552,Hounslow 027,4.4,5
E02000553,Hounslow 028,4.0,4
E02000554,Islington 001,2.1666666666666665,6
E02000555,Islington 002,3.6666666666666665,6
E02000556,Islington 003,3.1666666666666665,6
E02000557,Islington 004,3.4,5
E02000558,Islington 005,1.4,5
E02000559,Islington 006,6.333333333333333,6
E02000560,Islington 007,3.6,5
E02000561,Islington 008,5.75,4
