MSOA21CD,MSOA21NM,IMD_Decile_Mean,LSOA_Count
E02000758,Redbridge 008,6.75,4
E02000759,Redbridge 009,6.571428571428571,7
E02000760,Redbridge 010,4.75,4
E02000762,Redbridge 012,7.75,4
E02000763,Redbridge 013,5.25,4
E02000764,Redbridge 014,8.0,7
E02000765,Redbridge 015,6.5,4
E02000767,Redbridge 017,6.25,4
E02000768,Redbridge 018,9.0,4
E02000770,Redbridge 020,5.0,4
E02000772,Redbridge 022,4.0,4
E02000773,Redbridge 023,5.4,5
E02000774,Redbridge 024,4.0,4
E02000776,Redbridge 026,4.5,4
E02000777,Redbridge 027,7.5,4
E02000779,Redbridge 029,2.25,4
E02000781,Redbridge 031,4.857142857142857,7
E02000782,Redbridge 032,2.5714285714285716,7
E02000783,Redbridge 033,2.75,4
E02000784,Richmond upon Thames 001,8.0,7
E02000785,Richmond upon Thames 002,8.333333333333334,6
E02000786,Richmond upon Thames 003,7.571428571428571,7
E02000787,Richmond upon Thames 004,7.142857142857143,7
E02000788,Richmond upon Thames 005,8.4,5
E02000789,Richmond upon Thames 006,7.5,4
E02000790,Richmond upon Thames 007,9.5,4
E02000791,Richmond upon Thames 008,9.0,4
E02000792,Richmond upon Thames 009,9.25,4
E02000793,Richmond upon Thames 010,7.2,5
E02000794,Richmond upon Thames 011,9.25,4
E02000795,Richmond upon Thames 012,8.75,4
E02000796,Richmond upon Thames 013,6.166666666666667,6
E02000797,Richmond upon Thames 014,8.5,4
E02000798,Richmond upon Thames 015,8.142857142857142,7
E02000799,Richmond upon Thames 016,9.25,4
E02000800,Richmond upon Thames 017,7.333333333333333,3
E02000801,Richmond upon Thames 018,9.5,4
E02000802,Richmond upon Thames 019,9.0,4
E02000803,Richmond upon Thames 020,6.666666666666667,6
E02000804,Richmond upon Thames 021,9.25,4
E02000805,Richmond upon Thames 022,8.5,6
E02000806,Richmond upon Thames 023,8.5,6
E02000807,Southwark 001,7.8,5
E02000808,Southwark 002,6.0,6
E02000810,Southwark 004,3.857142857142857,7
E02000812,Southwark 006,4.166666666666667,6
E02000813,Southwark 007,3.8,5
E02000814,Southwark 008,6.6,5
E02000815,Southwark 009,5.0,5
E02000816,Southwark 010,3.2,5
E02000817,Southwark 011,2.5,4
E02000818,Southwark 012,4.166666666666667,6
E02000819,Southwark 013,3.2,5
E02000820,Southwark 014,3.8333333333333335,6
E02000821,Southwark 015,2.6,5
E02000822,Southwark 016,3.0,4
E02000823,Southwark 017,3.8,5
E02000824,Southwark 018,3.0,5
E02000825,Southwark 019,3.2,5
E02000826,Southwark 020,4.0,5
E02000827,Southwark 021,3.0,6
E02000828,Southwark 022,2.8,5
E02000829,Southwark 023,3.2,5
E02000830,Southwark 024,5.2,5
E02000831,Southwark 025,4.4,5
E02000832,Southwark 026,3.6,5
E02000833,Southwark 027,4.6,5
E02000834,Southwark 028,5.8,5
E02000835,Southwark 029,5.75,4
E02000836,Southwark 030,6.0,5
E02000837,Southwark 031,7.4,5
E02000838,Southwark 032,6.0,5
E02000839,Southwark 033,5.8,5
E02000840,Sutton 001,2.8,5
E02000841,Sutton 002,3.2,5
E02000842,Sutton 003,8.2,5
E02000843,Sutton 004,6.666666666666667,6
E02000844,Sutton 005,5.2,5
E02000845,Sutton 006,8.0,5
E02000846,Sutton 007,8.0,4
E02000847,Sutton 008,9.166666666666666,6
E02000848,Sutton 009,9.0,5
E02000849,Sutton 010,6.6,5
E02000850,Sutton 011,7.571428571428571,7
E02000851,Sutton 012,5.166666666666667,6
E02000852,Sutton 013,7.8,5
E02000853,Sutton 014,7.2,5
E02000854,Sutton 015,7.6,5
E02000855,Sutton 016,9.0,5
E02000856,Sutton 017,7.6,5
E02000857,Sutton 018,7.8,5
E02000858,Sutton 019,2.8,5
E02000859,Sutton 020,7.0,5
E02000860,Sutton 021,5.6,5
E02000861,Sutton 022,9.8,5
E02000863,Sutton 024,8.25,4
E02000864,Tower Hamlets 001,3.6666666666666665,6
E02000865,Tower Hamlets 002,2.2,5
E02000866,Tower Hamlets 003,4.2,5
E02000867,Tower Hamlets 004,3.857142857142857,7
E02000868,Tower Hamlets 005,3.25,4
E02000869,Tower Hamlets 006,3.0,3
E02000870,Tower Hamlets 007,2.5,4
E02000871,Tower Hamlets 008,2.2857142857142856,7
E02000872,Tower Hamlets 009,2.4,5
E02000873,Tower Hamlets 010,3.0,4
E02000874,Tower Hamlets 011,2.0,4
E02000875,Tower Hamlets 012,2.5714285714285716,7
E02000876,Tower Hamlets 013,1.75,4
E02000877,Tower Hamlets 014,2.857142857142857,7
E02000878,Tower Hamlets 015,2.8,5
E02000879,Tower Hamlets 016,2.25,4
E02000880,Tower Hamlets 017,1.75,4
E02000881,Tower Hamlets 018,2.6,5
E02000882,Tower Hamlets 019,2.3333333333333335,6
E02000883,Tower Hamlets 020,1.8,5
E02000884,Tower Hamlets 021,4.428571428571429,7
E02000885,Tower Hamlets 022,1.25,4
E02000886,Tower Hamlets 023,4.2,5
E02000887,Tower Hamlets 024,2.0,6
E02000888,Tower Hamlets 025,3.4,5
E02000889,Tower Hamlets 026,5.4,5
E02000890,Tower Hamlets 027,8.333333333333334,3
E02000893,Tower Hamlets 030,4.0,4
E02000894,Tower Hamlets 031,6.0,6
E02000895,Waltham Forest 001,5.4,5
E02000896,Waltham Forest 002,6.8,5
E02000897,Waltham Forest 003,4.6,5
E02000898,Waltham Forest 004,5.4,5
E02000899,Waltham Forest 005,5.6,5
E02000900,Waltham Forest 006,4.2,5
E02000901,Waltham Forest 007,7.333333333333333,6
E02000902,Waltham Forest 008,5.2,5
E02000903,Waltham Forest 009,3.4,5
E02000904,Waltham Forest 010,5.25,4
E02000905,Waltham Forest 011,5.0,5
E02000906,Waltham Forest 012,4.2,5
E02000907,Waltham Forest 013,2.3333333333333335,6
E02000908,Waltham Forest 014,4.5,6
E02000909,Waltham Forest 015,6.2,5
E02000910,Waltham Forest 016,4.666666666666667,6
E02000911,Waltham Forest 017,3.4,5
E02000912,Waltham Forest 018,4.2,5
E02000913,Waltham Forest 019,4.4,5
E02000914,Waltham Forest 020,2.5,6
E02000915,Waltham Forest 021,4.6,5
E02000916,Waltham Forest 022,3.6,5
E02000917,Waltham Forest 023,4.6,5
E02000918,Waltham Forest 024,4.2,5
E02000919,Waltham Forest 025,4.8,5
E02000920,Waltham Forest 026,3.2,5
E02000921,Waltham Forest 027,3.0,6
E02000922,Waltham Forest 028,4.0,6
E02000923,Wandsworth 001,7.25,4
E02000925,Wandsworth 003,4.75,4
E02000926,Wandsworth 004,7.571428571428571,7
E02000927,Wandsworth 005,4.25,4
E02000928,Wandsworth 006,8.2,5
E02000929,Wandsworth 007,3.0,4
E02000930,Wandsworth 008,6.4,5
E02000931,Wandsworth 009,8.2,5
E02000932,Wandsworth 010,8.25,8
E02000933,Wandsworth 011,8.2,5
E02000934,Wandsworth 012,7.2,5
E02000935,Wandsworth 013,2.75,4
E02000936,Wandsworth 014,7.4,5
E02000937,Wandsworth 015,8.8,5
E02000938,Wandsworth 016,5.2,5
E02000939,Wandsworth 017,9.0,5
E02000940,Wandsworth 018,5.4,5
E02000941,Wandsworth 019,8.166666666666666,6
E02000942,Wandsworth 020,9.0,6
E02000943,Wandsworth 021,8.0,5
E02000944,Wandsworth 022,4.0,4
E02000945,Wandsworth 023,2.75,4
E02000946,Wandsworth 024,6.2,5
E02000947,Wandsworth 025,9.2,5
E02000948,Wandsworth 026,8.0,6
E02000949,Wandsworth 027,8.333333333333334,6
E02000950,Wandsworth 028,6.4,5
E02000951,Wandsworth 029,6.5,4
E02000952,Wandsworth 030,7.0,4
E02000953,Wandsworth 031,7.75,4
E02000954,Wandsworth 032,6.75,4
E02000955,Wandsworth 033,5.0,4
E02000956,Wandsworth 034,4.5,4
E02000957,Wandsworth 035,5.333333333333333,6
E02000958,Wandsworth 036,6.2,5
E02000959,Wandsworth 037,4.25,4
E02000960,Westminster 001,7.5,4
E02000961,Westminster 002,5.8,5
E02000962,Westminster 003,5.6,5
E02000963,Westminster 004,2.2,5
E02000964,Westminster 005,2.3333333333333335,6
E02000965,Westminster 006,5.8,5
E02000966,Westminster 007,6.6,5
E02000967,Westminster 008,7.25,4
E02000968,Westminster 009,1.375,8
E02000969,Westminster 010,1.8,5
E02000970,Westminster 011,7.8,5
E02000971,Westminster 012,5.6,5
E02000972,Westminster 013,4.5,4
E02000973,Westminster 014,5.4,5
E02000974,Westminster 015,4.666666666666667,6
E02000975,Westminster 016,5.8,5
E02000976,Westminster 017,4.5,6
E02000977,Westminster 018,5.5,4
E02000978,Westminster 019,8.0,5
E02000979,Westminster 020,5.2,5
E02000980,Westminster 021,4.333333333333333,6
E02000981,Westminster 022,4.6,5
E02000982,Westminster 023,3.0,5
E02000983,Westminster 024,3.6,5
E02006782,Bromley 040,6.4,5
E02006783,Lewisham 037,2.2,5
E02006784,Lewisham 038,2.6,5
E02006785,Bexley 029,6.0,4
E02006786,Greenwich 033,3.25,4
E02006787,Bromley 041,8.0,5
E02006788,Croydon 045,4.2,5
E02006789,Bromley 042,7.25,4
E02006791,Ealing 040,6.75,4
E02006792,Hounslow 029,6.4,5
E02006793,Enfield 037,1.4,5
E02006794,Haringey 037,1.0,4
E02006795,Harrow 032,6.6,5
E02006796,Hillingdon 033,6.2,5
E02006798,Lewisham 039,2.6,5
E02006799,Barking and Dagenham 023,2.8333333333333335,6
E02006800,Redbridge 034,3.7142857142857144,7
E02006801,Lambeth 036,5.0,5
E02006802,Southwark 034,4.0,5
E02006836,Sutton 025,9.8,5
E02006853,Tower Hamlets 032,5.166666666666667,6
E02006854,Tower Hamlets 033,6.5,4
E02006882,Harrow 033,6.777777777777778,9
E02006918,Hackney 028,2.2,5
E02006921,Hackney 029,1.0,4
E02006924,Redbridge 035,5.0,8
E02006925,Redbridge 036,7.875,8
E02006927,Greenwich 034,6.0,8
E02006928,Greenwich 035,5.714285714285714,7
E02006930,Greenwich 037,5.666666666666667,6
E02006931,Greenwich 038,5.2,5
E02006941,Southwark 035,9.0,5
E02006942,Southwark 036,5.75,4
E02006953,Barnet 042,6.0,6
E02006954,Barnet 043,4.0,6
E02006955,Brent 035,5.25,4
E02006956,Brent 036,4.0,4
E02006968,Ealing 041,6.0,5
E02006969,Ealing 042,5.75,4
E02006970,Ealing 043,2.6666666666666665,3
E02006971,Ealing 044,2.25,4
E02006972,Hounslow 030,4.25,4
E02006973,Hounslow 031,3.6,5
E02006987,Croydon 046,4.6,5
E02006988,Croydon 047,3.5,4
E02006991,Greenwich 039,7.0,4
E02006992,Greenwich 040,5.6,5
E02006993,Greenwich 041,5.833333333333333,6
E02006994,Greenwich 042,2.75,4
E02006995,Newham 038,6.8,5
E02006996,Newham 039,4.0,5
E02006997,Newham 040,4.75,4
E02006998,Newham 041,3.25,4
E02006999,Newham 042,7.75,8
E02007008,Lewisham 040,5.25,4
E02007009,Lewisham 041,2.6,5
E02007017,Redbridge 037,5.4,5
E02007018,Redbridge 038,3.3333333333333335,3
E02007019,Redbridge 039,2.6666666666666665,3
E02007020,Redbridge 040,3.2,5
E02007083,Wandsworth 038,7.8,5
E02007084,Wandsworth 039,4.0,5
E02007108,Hackney 030,4.333333333333333,3
E02007109,Hackney 031,4.5,4
E02007110,Hackney 032,4.25,4
E02007111,Hackney 033,5.0,3
E02007112,Tower Hamlets 034,7.0,4
E02007113,Tower Hamlets 035,4.5,4
E02007114,Tower Hamlets 036,5.2,5
E02007115,Camden 029,3.5,8
