"Intercept","IMD","Asian","Other","retailers___other","takeaway_sandwich_shop","pub_bar_nightclub","supermarkets_hypermarkets","hotel_bed_and_breakfast_guest_house","other_catering_premises","log_pop_density","alpha","MSOA21CD","MSOA21NM","x","y"
-6.39855002781236,-0.0288965273299961,0.00518840400081951,0.104741427303623,0.0200519722574433,0.00704875435194915,-0.0201599065753124,0.0122570489244991,-0.0297993155183185,0.00712112653402364,0.28475115232503,1e-06,"E02000035","Barnet 012",525825.887176229,193028.311679961
-6.85072125435143,0.00847547873530913,0.00404363635897814,0.0422554523272681,0.0128423549217191,-0.00798943759502314,-0.0272194025970401,-0.00549384620479771,-0.0194971378278176,-0.00520527768760215,0.388234511353756,0.054206684849651,"E02000036","Barnet 013",520325.557782937,193009.57171678
-6.51994579689632,0.0111522894274699,0.00476020540384071,0.0380864848532034,0.010256900392059,-0.00595236139809272,-0.0278606640812163,-0.0102323065415347,-0.0334412434008529,-0.0129078577757137,0.364432875034985,0.0615109994173404,"E02000037","Barnet 014",518863.642734652,193601.778004069
-6.30538412965661,-0.0260418061660628,0.0163339325841748,0.106126011698896,0.0184552223461434,0.007944124815843,-0.00123197832479802,0.0345516087862202,-0.0276363028546519,0.00469084571613095,0.226741639676607,0.0271953277669506,"E02000038","Barnet 015",527828.26502017,192350.458064229
-6.92958443481365,0.00347207691249395,0.00316495043820673,0.0510717758396734,0.0148886777851692,-0.00938263977766354,-0.0262527467139345,-0.00251335715951639,-0.012258100022477,-0.00134711027046671,0.390300441363787,0.0354201199532598,"E02000039","Barnet 016",521812.869360113,192190.579552239
-6.51889068399673,-0.0106569870579426,0.00221473984242125,0.0762577415725083,0.0166425397751856,-0.00390127686391319,-0.0261054612763647,-0.00163663406456223,-0.0187716830813274,-0.000913359122970426,0.338869097457819,1e-06,"E02000040","Barnet 017",523481.414245704,192439.313401176
-6.82410897716476,0.0105866267846922,0.00838615265740947,0.0488975254525893,0.0139212943524353,-0.0092143943222008,-0.0251872376396558,-0.00610614863927915,-0.0179713557925003,-0.00524113783110678,0.355350039918953,0.067300628915509,"E02000041","Barnet 018",519703.352287109,191930.210757931
-6.03709242343066,-0.0236345056185442,0.0142090701903502,0.0840437955631191,0.0181992048060451,0.00482919146731235,-0.0190101609893194,0.00524189661530896,-0.0136633771127733,0.00333944424149999,0.251246110706113,1e-06,"E02000042","Barnet 019",526260.400807393,191902.020199829
-6.17009031910525,-0.0204188017940593,0.00823673755341923,0.0838144292536112,0.0174780689043335,0.00158366103625405,-0.0252501755230116,-0.00288779204037569,-0.0156820243652265,0.00166689346423526,0.288048083309285,1e-06,"E02000043","Barnet 020",525158.883689486,192117.714663445
-6.99927182171989,0.00785630091565511,0.00615262353881985,0.0469027048468423,0.0151101341407812,-0.0112179429405135,-0.0248375005087656,-0.00271279839169896,-0.00885775148530018,-0.00104908509828667,0.382888481455839,0.0556149225140855,"E02000044","Barnet 021",521003.509091245,191593.882926682
-6.10154179831777,-0.0168232546726044,0.0309616375116436,0.0713990896159848,0.0154947936451764,0.00422995780363958,3.15294042776286e-05,0.024664871290589,-0.00570405507218048,-0.000507122690886108,0.214362154081763,0.0887259260904363,"E02000045","Barnet 022",527904.938631386,191323.654652871
-5.06875037080633,-0.00939776745950143,0.0183388618903535,0.0494207120752991,0.0127072874475886,-0.00322006972621764,-0.0291269658164776,-0.0178742344193415,0.00532357880469862,-0.012350446242622,0.200725782906826,0.00627622561586424,"E02000046","Barnet 023",525551.480983437,190761.923176171
-6.85638707228407,0.0107278853543488,0.0103493133035082,0.0532981788810946,0.0160841901784447,-0.0128041488350317,-0.0221131376341298,-0.00315653279518919,-0.00710151652596344,-0.00021302177260616,0.336181106794381,0.0672459363484916,"E02000047","Barnet 024",520442.970104498,190745.35230105
-5.71605948553167,0.000517552414193704,0.00608435224654924,0.0583721266165171,0.0123726667446848,-0.0132483930546292,-0.0276449124890634,-0.0101967183009257,-0.00495161756131857,-0.0126497889336822,0.275800327153958,0.000797454494351853,"E02000048","Barnet 025",523469.444271885,190795.178183684
-6.72955300268892,0.00757673093925256,0.00763437886069531,0.0498698570679711,0.0154198221681974,-0.014446904907717,-0.0233565763621178,-0.00259132561372199,-0.0025393583480287,-0.00117634940133484,0.348056951400801,0.0477419584196169,"E02000049","Barnet 026",521559.147771176,190714.70899262
-4.94528120939094,-0.0082046189537664,0.0319960003941774,0.0319293670130123,0.0132307766032837,0.00053789791453421,-0.0188161177592147,-0.00304890777737237,0.0151192945623022,-0.0115142267078395,0.153124595727898,0.0574628765983473,"E02000050","Barnet 027",526728.30897367,190620.247470334
-4.36718361012034,0.00424136755295979,0.016637481923105,0.0318794142809566,0.00790239153995735,-0.0114668812694945,-0.0342158409613897,-0.0267333126441845,0.0103857802772898,-0.0241806307874514,0.158328199959084,0.00278696635469714,"E02000051","Barnet 028",524820.375290552,189902.502247323
-3.77958904270776,0.0033929390546247,0.0451126431280875,-0.0131290393191329,0.0102234993941286,-0.000987445233824176,-0.0226396276188322,-0.0133557756954323,0.0306845078220761,-0.0247642558065061,0.0491310080242369,0.0616521091692101,"E02000052","Barnet 029",526943.881091317,189657.293280387
-5.46876949723725,0.00954903552437018,0.00868044349258591,0.040508718800742,0.0118224524822664,-0.0197200086121063,-0.023580765387692,-0.0091177904806664,0.00588653232861045,-0.0105479603125201,0.243054474377435,0.025926464984043,"E02000054","Barnet 031",522609.186443502,189699.480899839
