MSOA21CD,Intercept,IMD,Asian,Black,Other,retailers___other,takeaway_sandwich_shop,pub_bar_nightclub,supermarkets_hypermarkets,hotel_bed_and_breakfast_guest_house,other_catering_premises,log_pop_density,local_R2,y_pred
E02000052,-1.6854388010438557,-0.7680036910618124,0.2712900533175574,-0.20847128408306054,0.050122063818966264,0.01554206858758135,-0.06678698489198598,-0.08259542790901794,-0.11860536222045666,0.15208323497084186,-0.10783649549704882,1.2342690102885188,0.37098525989048814,4.100213725523346
E02000054,-25.015803522707948,-0.13047472982899644,0.07360101677579875,0.07710063975421808,0.4464209497495851,0.042259728194680976,-0.12551550533571823,0.0042469934489612095,-0.08188046856727346,0.13236246630379445,-0.04878635173408971,3.027548151588966,0.34593705151341303,3.9412165963637094
E02000055,-19.68281836049683,-0.20998553022144184,0.08566760202235664,0.06179315393107784,0.3970982916180247,0.02481571961391612,-0.13463105769294775,-0.025359460407693206,-0.115269876552725,0.1350319051447184,-0.09377034052026151,2.6599309029029685,0.3584036870485235,7.680980289662351
E02000056,-2.219430722113941,-0.6820429807509473,0.24609247665350267,-0.12258327104889466,0.04947145380790127,0.004948444258418089,-0.09191788508373308,-0.11317270827907336,-0.162813013362799,0.17226744879965394,-0.1744819726402191,1.374237081525071,0.39731777581236233,2.679090695239505
E02000057,-13.836705037531118,-0.31707891995977017,0.09942893433127802,0.04012467596006378,0.326684509853831,0.009165297381788489,-0.1392252868144535,-0.05819116939037256,-0.14517818571584593,0.13697331957956105,-0.1330408590959825,2.259995094561614,0.36977772854527863,6.46443047029973
E02000058,-6.011792463288813,-0.43005246196457503,0.15803927806783905,0.0080567807589004,0.21846972857314045,-0.0005029697587193918,-0.12700093319098998,-0.11058328551870407,-0.1867471778977491,0.14615484884327828,-0.18598653566726997,1.599458655269789,0.3961319329640303,5.944135424602278
E02000059,-24.823819676239907,-0.2038310017416474,0.09249714694264549,0.022242924292579347,0.40963112055880596,0.045098374367202494,-0.12412817315747023,0.04056478711717294,-0.06762535435215682,0.15499424632927122,-0.018213497657547928,3.0189603993495355,0.3470422703765134,5.785638145315573
E02000060,-8.41260862554773,-0.40350727776162076,0.12152206552463704,0.018872689187019925,0.24010896879029706,0.00311159715997375,-0.13100586980054718,-0.09675244968566539,-0.1726563985857021,0.1410639708893136,-0.16731245379623866,1.846785180412817,0.3855160089566423,9.414782943807818
E02000061,-5.7578190607089486,-0.5258064074386251,0.15910180157846765,-0.03339571793600099,0.10315692898094782,0.015087454642198489,-0.09645288518534116,-0.13238254063000932,-0.18299091555536728,0.1520726617341298,-0.1773127528395909,1.694551025617084,0.4027090189457258,6.893448224303756
E02000062,-11.11527929042035,-0.37165279997000666,0.11547474181739713,-0.004472614322677912,0.23850107766686784,0.016168760430226588,-0.12288569231595003,-0.06961666598072036,-0.14298376288994544,0.14392620899011777,-0.11796524315654412,2.032034482806628,0.38056715641389366,7.09190488603322
E02000063,-7.922219966572518,-0.4463075612933336,0.12922321114980778,-0.020143765500582736,0.15798447134107513,0.019740580082462808,-0.10265777389106756,-0.10763923796350147,-0.16664032280519217,0.1419115282304616,-0.14647391619187985,1.8147972128825065,0.394670940992261,12.819389569468546
E02000064,-7.160290669645516,-0.5060078619746063,0.14146317500586292,-0.04815628603662643,0.09391276957753558,0.03416142238899723,-0.0674936212738072,-0.12104631387927044,-0.1696505548696251,0.13811844847362226,-0.15172483037259824,1.755286977130067,0.40327765454186265,6.51777965918774
E02000065,-7.124801852530956,0.28140578982889775,0.30414967985578456,0.13759437079876685,-1.0164639102832642,0.10852539743229245,-0.11443041863418256,-0.0447233096569805,-0.1362313656623362,0.07894760667746761,-0.10731709844183716,0.909963792920827,0.48793932238947363,9.089041673705829
E02000066,-3.5277718156676277,0.28583277972217264,0.32243832460740657,0.13232361918119656,-0.877028525860815,0.12663284713499035,-0.08416163557739643,-0.02611054346411477,-0.1176538973118503,0.1278286976766776,-0.0682682822192114,0.21505588079058371,0.48866144913046433,9.139073957712375
E02000067,-4.22660323536933,0.2949144445830642,0.31133130497256445,0.14305509561060736,-0.9333305151398098,0.09736576099015443,-0.08754116617644077,-0.04664622089289651,-0.12142108426492408,0.08027749745772103,-0.09133842170413947,0.46062708917472495,0.45451994568006937,4.399282396299428
E02000068,-3.3245614299604873,0.29304215490864743,0.3077970531641448,0.14827851833844824,-0.9084884326140868,0.08075282050162771,-0.07172190149778537,-0.05105059076103367,-0.11461274929605642,0.061242994550109287,-0.08869369341507394,0.36048930361720277,0.4150407997530993,4.946888075709672
E02000069,-0.9177598796332233,0.3282790029685272,0.3238900251208807,0.14541515537866734,-0.7994998679807429,0.09196076974355341,-0.05204380317707827,-0.041880497398277136,-0.1083245551396873,0.09448478941004411,-0.05957983265376575,-0.12213127742277194,0.4052290948066677,3.385839539907801
E02000070,0.24012073697276826,0.26654885449492255,0.3410775161666689,0.12968722041026715,-0.7470009440504723,0.12155284446222253,-0.040318667570486834,-0.01778317027312111,-0.10620220718875997,0.14732078058704307,-0.041580879177829655,-0.4129517962911306,0.45638210428091136,5.773060334203001
