BusinessTypeID,FHRSID,BusinessType,Hygiene,Latitude,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityName,Longitude,RatingValue
4613,430126,Retailers - other,5.0,51.40911484,12/00099/COMM,507,Croydon,-0.121918999,5
1,2334,Restaurant/Cafe/Canteen,5.0,51.35528564,00821/2009/2/201,507,Croydon,-0.019714,5
4613,1475518,Retailers - other,0.0,51.39109802,22/00131/COMM,507,Croydon,-0.103684001,5
7844,1489190,Takeaway/sandwich shop,5.0,51.37705994,22/00186/COMM,507,Croydon,-0.027861999,5
1,4838,Restaurant/Cafe/Canteen,0.0,51.38212585,01351/0297/0/200,507,Croydon,-0.06978,5
7843,6700,Pub/bar/nightclub,0.0,51.2951529,02428/2005/2/200,507,Croydon,-0.1104394,5
7843,1824716,Pub/bar/nightclub,0.0,51.3393618,25/00375/COMM,507,Croydon,-0.1176692,5
1,877543,Restaurant/Cafe/Canteen,0.0,51.3416214,16/00210/COMM,507,Croydon,-0.110996,5
1,1695,Restaurant/Cafe/Canteen,0.0,51.31049728,00351/0207/0/201,507,Croydon,-0.144185007,5
7843,2419,Pub/bar/nightclub,0.0,51.37414551,00899/0017/0/200,507,Croydon,-0.098608002,5
1,1865468,Restaurant/Cafe/Canteen,10.0,51.3917993,25/00686/COMM,507,Croydon,-0.066359,3
7843,1813433,Pub/bar/nightclub,0.0,51.38671494,25/00327/COMM,507,Croydon,-0.116282001,4
4613,1788763,Retailers - other,0.0,51.3848778,24/00741/COMM,507,Croydon,-0.0978238,5
1,1568504,Restaurant/Cafe/Canteen,10.0,51.38077927,22/00883/COMM,507,Croydon,-0.087943003,1
7843,4318,Pub/bar/nightclub,0.0,51.3716442,01078/0060/0/200,507,Croydon,-0.100829,5
7844,1847759,Takeaway/sandwich shop,10.0,51.39998627,25/00548/COMM,507,Croydon,-0.074217997,4
7844,1897043,Takeaway/sandwich shop,0.0,51.3850959,25/00941/COMM,507,Croydon,-0.0885593,5
1,1663668,Restaurant/Cafe/Canteen,5.0,51.33928299,23/00606/COMM,507,Croydon,-0.117668003,2
1,481368,Restaurant/Cafe/Canteen,10.0,51.37578201,10/00610/COMM,507,Croydon,-0.061425,4
7843,7097,Pub/bar/nightclub,10.0,51.3715721,02689/0325/0/200,507,Croydon,-0.1169812,3
1,1738225,Restaurant/Cafe/Canteen,0.0,51.39810944,24/00381/COMM,507,Croydon,-0.072714999,5
7843,1764454,Pub/bar/nightclub,0.0,51.3867532,24/00567/COMM,507,Croydon,-0.0706393,5
7843,801877,Pub/bar/nightclub,0.0,51.33806229,15/00174/COMM,507,Croydon,-0.116253003,5
7843,1784071,Pub/bar/nightclub,0.0,51.39901352,24/00699/COMM,507,Croydon,-0.075179003,5
7844,1762313,Takeaway/sandwich shop,0.0,51.3808658,24/00550/COMM,507,Croydon,-0.1052607,5
7844,1842560,Takeaway/sandwich shop,10.0,51.3746376,25/00483/COMM,507,Croydon,-0.095124997,4
1,1720229,Restaurant/Cafe/Canteen,15.0,51.39823151,24/00230/COMM,507,Croydon,-0.091572002,2
7843,1722312,Pub/bar/nightclub,0.0,51.3511039,24/00263/COMM,507,Croydon,-0.0391347,5
4613,1470053,Retailers - other,0.0,51.37038803,22/00087/COMM,507,Croydon,-0.083936997,4
1,1720256,Restaurant/Cafe/Canteen,0.0,51.3961164,24/00257/COMM,507,Croydon,-0.0605135,4
1,983312,Restaurant/Cafe/Canteen,5.0,51.40584183,16/00016/COMM,507,Croydon,-0.075222999,5
4613,1437392,Retailers - other,5.0,51.39441299,21/00828/COMM,507,Croydon,-0.114125997,3
1,1648665,Restaurant/Cafe/Canteen,10.0,51.35072327,23/00479/COMM,507,Croydon,-0.096202999,4
1,983428,Restaurant/Cafe/Canteen,0.0,51.37121582,17/00220/COMM,507,Croydon,-0.099978998,5
1,1153186,Restaurant/Cafe/Canteen,0.0,51.33411026,19/00243/COMM,507,Croydon,-0.076692,5
7843,7053,Pub/bar/nightclub,0.0,51.40708542,02672/1327/0/200,507,Croydon,-0.121570997,5
7842,1859444,Hotel/bed & breakfast/guest house,10.0,51.3843381,25/00613/COMM,507,Croydon,-0.098924,4
4613,1032224,Retailers - other,0.0,51.37497711,18/00087/COMM,507,Croydon,-0.047076002,4
1,1138477,Restaurant/Cafe/Canteen,10.0,51.33768463,19/00227/COMM,507,Croydon,-0.114602998,3
1,817892,Restaurant/Cafe/Canteen,0.0,51.40708542,15/00255/COMM,507,Croydon,-0.121570997,5
7843,6970,Pub/bar/nightclub,0.0,51.378187,02670/0001/0/200,507,Croydon,-0.1033604,5
1,1522878,Restaurant/Cafe/Canteen,5.0,51.31981277,22/00323/COMM,507,Croydon,-0.065250002,5
7843,1824,Pub/bar/nightclub,15.0,51.37797546,00430/0112/0/200,507,Croydon,-0.090259001,0
7841,1808946,Other catering premises,0.0,51.37134171,25/00253/COMM,507,Croydon,-0.056669999,5
7844,946647,Takeaway/sandwich shop,0.0,51.39852142,17/00007/COMM,507,Croydon,-0.089001,4
7843,1859453,Pub/bar/nightclub,0.0,51.37812805,25/00641/COMM,507,Croydon,-0.088541999,4
7844,1036488,Takeaway/sandwich shop,0.0,51.34209824,18/00106/COMM,507,Croydon,-0.015766,4
7843,1710025,Pub/bar/nightclub,0.0,51.33956528,24/00145/COMM,507,Croydon,-0.115689002,5
7843,26114,Pub/bar/nightclub,0.0,51.320858,08/00200/COMM,507,Croydon,-0.139231995,5
4613,1579735,Retailers - other,5.0,51.36890411,22/00965/COMM,507,Croydon,-0.099903002,4
4613,1865487,Retailers - other,0.0,51.3944136,25/00708/COMM,507,Croydon,-0.1141743,5
7843,1230363,Pub/bar/nightclub,0.0,51.3942459,20/00118/COMM,507,Croydon,-0.0674778,5
7843,4372,Pub/bar/nightclub,0.0,51.397868,01081/0002/0/200,507,Croydon,-0.0931299,5
7843,1413826,Pub/bar/nightclub,5.0,51.35126114,21/00644/COMM,507,Croydon,-0.098866001,4
1,1630891,Restaurant/Cafe/Canteen,5.0,51.39736557,23/00364/COMM,507,Croydon,-0.075579002,4
7843,1706327,Pub/bar/nightclub,0.0,51.35579681,24/00123/COMM,507,Croydon,-0.020889999,5
1,1892742,Restaurant/Cafe/Canteen,0.0,51.3437373,25/00894/COMM,507,Croydon,-0.061734,5
7843,5541,Pub/bar/nightclub,10.0,51.36980438,01931/0001/0/200,507,Croydon,-0.102006003,3
4613,1606055,Retailers - other,5.0,51.39871979,23/00178/COMM,507,Croydon,-0.095131002,5
1,6547,Restaurant/Cafe/Canteen,0.0,51.41743469,02270/2009/2/200,507,Croydon,-0.082084998,5
7844,1842558,Takeaway/sandwich shop,0.0,51.3746376,25/00481/COMM,507,Croydon,-0.095124997,5
1,1815613,Restaurant/Cafe/Canteen,0.0,51.39238358,25/00340/COMM,507,Croydon,-0.116466001,4
7843,4317,Pub/bar/nightclub,5.0,51.37204742,01078/0047/0/200,507,Croydon,-0.100102998,5
1,36216,Restaurant/Cafe/Canteen,5.0,51.37533569,10/00627/COMM,507,Croydon,-0.047348,5
7843,640,Pub/bar/nightclub,5.0,51.34366226,00012/0152/3/200,507,Croydon,-0.061934002,5
7843,1726399,Pub/bar/nightclub,0.0,51.41964722,24/00302/COMM,507,Croydon,-0.081445999,5
7843,4560,Pub/bar/nightclub,0.0,51.37261581,01192/0039/0/200,507,Croydon,-0.099633999,5
1,1590558,Restaurant/Cafe/Canteen,5.0,51.36565781,23/00054/COMM,507,Croydon,-0.098757997,5
1,6410,Restaurant/Cafe/Canteen,0.0,51.36776733,02170/0107/0/201,507,Croydon,-0.053489,5
7843,6512,Pub/bar/nightclub,0.0,51.36818695,02255/0023/0/200,507,Croydon,-0.100621998,4
1,1407472,Restaurant/Cafe/Canteen,0.0,51.3688133,21/00585/COMM,507,Croydon,-0.0998398,5
1,682626,Restaurant/Cafe/Canteen,0.0,51.38077545,14/00140/COMM,507,Croydon,-0.072438002,5
7843,1070305,Pub/bar/nightclub,0.0,51.36574936,18/00397/COMM,507,Croydon,-0.099285997,4
1,877548,Restaurant/Cafe/Canteen,0.0,51.41743469,16/00219/COMM,507,Croydon,-0.082084998,5
1,1606052,Restaurant/Cafe/Canteen,10.0,51.3669014,23/00174/COMM,507,Croydon,-0.098779,4
7843,1972,Pub/bar/nightclub,5.0,51.3062735,00526/0270/0/200,507,Croydon,-0.1197256,5
7843,2467,Pub/bar/nightclub,0.0,51.38806915,00922/0221/0/200,507,Croydon,-0.089867003,5
1,35749,Restaurant/Cafe/Canteen,,51.320858,10/00327/COMM,507,Croydon,-0.139231995,5
7841,1634814,Other catering premises,0.0,51.3732496,23/00155/COMM,507,Croydon,-0.1011218,5
1,6963,Restaurant/Cafe/Canteen,15.0,51.4081459,02666/0008/0/200,507,Croydon,-0.105351001,2
