Middle layer Super Output Areas Code,Middle layer Super Output Areas,Observation
E02000251,Ealing 014,8795.9
E02000252,Ealing 015,3828.6
E02000253,Ealing 016,8945.8
E02000254,Ealing 017,8846.3
E02000255,Ealing 018,6369.6
E02000256,Ealing 019,8376.4
E02000258,Ealing 021,6683.1
E02000259,Ealing 022,5151.4
E02000260,Ealing 023,9057.2
E02000261,Ealing 024,9698.7
E02000262,Ealing 025,13214.6
E02000263,Ealing 026,11096.2
E02000264,Ealing 027,5912.2
E02000265,Ealing 028,11080.2
E02000266,Ealing 029,3390.4
E02000267,Ealing 030,10814.8
E02000268,Ealing 031,6975.3
E02000269,Ealing 032,9226.2
E02000270,Ealing 033,12064.5
E02000271,Ealing 034,9295.2
E02000272,Ealing 035,5599.8
E02000275,Ealing 038,6968
E02000276,Ealing 039,8035.4
E02000277,Enfield 001,7186.2
E02000278,Enfield 002,7177.1
E02000279,Enfield 003,4724.1
E02000280,Enfield 004,554.7
E02000281,Enfield 005,5087.2
E02000282,Enfield 006,7877
E02000283,Enfield 007,7486.4
E02000284,Enfield 008,6814.5
E02000285,Enfield 009,6742.1
E02000286,Enfield 010,4235.4
E02000287,Enfield 011,829.5
E02000288,Enfield 012,6039.9
E02000289,Enfield 013,1991.7
E02000290,Enfield 014,1368.7
E02000291,Enfield 015,8780.8
E02000292,Enfield 016,5236.1
E02000293,Enfield 017,2963.1
E02000294,Enfield 018,6245.2
E02000295,Enfield 019,5363.5
E02000296,Enfield 020,5739.1
E02000297,Enfield 021,5799.8
E02000298,Enfield 022,4126.5
E02000299,Enfield 023,10825.4
E02000300,Enfield 024,11396.4
E02000301,Enfield 025,5611.7
E02000302,Enfield 026,5485.4
E02000303,Enfield 027,6735.6
E02000304,Enfield 028,4673.4
E02000305,Enfield 029,9238.3
E02000306,Enfield 030,4372.4
E02000307,Enfield 031,9143.7
E02000308,Enfield 032,7634.4
E02000309,Enfield 033,7239.6
E02000311,Enfield 035,7441.1
E02000312,Enfield 036,8626.3
E02000313,Greenwich 001,8880.5
E02000314,Greenwich 002,4429.6
E02000315,Greenwich 003,8274.1
E02000317,Greenwich 005,11584.2
E02000318,Greenwich 006,10014.5
E02000319,Greenwich 007,11482.6
E02000320,Greenwich 008,4822.6
E02000321,Greenwich 009,12403.2
E02000323,Greenwich 011,16893.5
E02000324,Greenwich 012,6035.3
E02000326,Greenwich 014,10679.3
E02000327,Greenwich 015,3563.9
E02000328,Greenwich 016,7432.1
E02000329,Greenwich 017,3591.6
E02000331,Greenwich 019,8295.6
E02000332,Greenwich 020,3694.1
E02000333,Greenwich 021,4948.9
E02000334,Greenwich 022,4791.8
E02000335,Greenwich 023,5158
E02000337,Greenwich 025,6062
E02000339,Greenwich 027,5006.8
E02000340,Greenwich 028,2104.4
E02000341,Greenwich 029,4462.5
E02000342,Greenwich 030,4652.2
E02000343,Greenwich 031,5607.5
E02000344,Greenwich 032,4977.6
E02000345,Hackney 001,13394.9
E02000346,Hackney 002,16131.1
E02000347,Hackney 003,11888.3
E02000348,Hackney 004,14511.3
E02000350,Hackney 006,18077.7
E02000351,Hackney 007,17770.8
E02000352,Hackney 008,8850
E02000353,Hackney 009,13897.2
E02000354,Hackney 010,12111.2
E02000355,Hackney 011,12488.9
E02000356,Hackney 012,17436.8
E02000357,Hackney 013,4495.6
E02000358,Hackney 014,17988.6
E02000359,Hackney 015,15335.5
E02000360,Hackney 016,21076.5
E02000361,Hackney 017,13557.7
E02000362,Hackney 018,5373.2
E02000363,Hackney 019,19916.2
E02000364,Hackney 020,13870.6
E02000366,Hackney 022,12943.7
E02000367,Hackney 023,14100.1
E02000368,Hackney 024,15622.7
E02000369,Hackney 025,20695.1
E02000370,Hackney 026,18158.2
E02000372,Hammersmith and Fulham 001,2901.9
E02000373,Hammersmith and Fulham 002,17236
E02000374,Hammersmith and Fulham 003,13942.3
E02000375,Hammersmith and Fulham 004,9992
E02000376,Hammersmith and Fulham 005,16343.9
E02000377,Hammersmith and Fulham 006,17572.1
E02000378,Hammersmith and Fulham 007,21858.6
E02000379,Hammersmith and Fulham 008,10887.1
E02000380,Hammersmith and Fulham 009,15634.4
E02000381,Hammersmith and Fulham 010,13798.8
E02000382,Hammersmith and Fulham 011,10022.7
E02000383,Hammersmith and Fulham 012,14093.9
E02000384,Hammersmith and Fulham 013,10560.8
E02000385,Hammersmith and Fulham 014,14045.5
E02000386,Hammersmith and Fulham 015,17334.2
E02000387,Hammersmith and Fulham 016,14767.2
E02000388,Hammersmith and Fulham 017,16284.8
E02000389,Hammersmith and Fulham 018,13776.9
E02000390,Hammersmith and Fulham 019,17812
E02000391,Hammersmith and Fulham 020,11402.2
E02000392,Hammersmith and Fulham 021,16682.9
E02000393,Hammersmith and Fulham 022,16779
E02000394,Hammersmith and Fulham 023,14096.3
E02000395,Hammersmith and Fulham 024,5828.6
E02000396,Hammersmith and Fulham 025,11042.1
E02000397,Haringey 001,14022
E02000398,Haringey 002,6312.1
E02000400,Haringey 004,5988.5
E02000401,Haringey 005,9194.9
E02000402,Haringey 006,6809
E02000403,Haringey 007,8827.4
E02000404,Haringey 008,11091.9
E02000405,Haringey 009,3633
E02000406,Haringey 010,14704.2
E02000407,Haringey 011,14566.2
E02000408,Haringey 012,15936.7
E02000409,Haringey 013,8730.9
E02000410,Haringey 014,8533.4
E02000411,Haringey 015,8199.8
E02000412,Haringey 016,9491.9
E02000413,Haringey 017,6366.2
E02000414,Haringey 018,17296
E02000415,Haringey 019,10282.6
E02000416,Haringey 020,13445.2
E02000417,Haringey 021,6187.2
E02000418,Haringey 022,7615
E02000419,Haringey 023,13601.1
E02000420,Haringey 024,13836.8
E02000421,Haringey 025,10857.3
E02000422,Haringey 026,13750
E02000423,Haringey 027,12449.5
E02000424,Haringey 028,10139.6
E02000425,Haringey 029,15099.8
E02000426,Haringey 030,2912.3
E02000427,Haringey 031,6166.7
E02000428,Haringey 032,14136.8
E02000429,Haringey 033,6927.4
E02000430,Haringey 034,10516.6
E02000431,Haringey 035,9599.5
E02000432,Haringey 036,11420
E02000433,Harrow 001,1361.2
E02000434,Harrow 002,5017.6
E02000435,Harrow 003,4533.7
E02000436,Harrow 004,1219.4
E02000437,Harrow 005,6272.4
E02000438,Harrow 006,4880.9
E02000439,Harrow 007,8710.9
E02000440,Harrow 008,6423.9
E02000441,Harrow 009,3202.6
E02000442,Harrow 010,8409.2
E02000443,Harrow 011,10987.6
E02000444,Harrow 012,7964
E02000445,Harrow 013,9410.9
E02000447,Harrow 015,3856.9
E02000448,Harrow 016,4109.5
E02000449,Harrow 017,9033
E02000451,Harrow 019,4196.5
E02000452,Harrow 020,8450.1
E02000453,Harrow 021,8109.5
E02000454,Harrow 022,4684.1
E02000455,Harrow 023,9470.8
E02000456,Harrow 024,8453.6
E02000457,Harrow 025,6085.3
E02000459,Harrow 027,7774.3
E02000460,Harrow 028,8443.4
E02000461,Harrow 029,2738.3
E02000462,Harrow 030,6985.5
E02000463,Harrow 031,9371.4
E02000464,Havering 001,1324.3
E02000465,Havering 002,3337.3
E02000466,Havering 003,1444.7
E02000467,Havering 004,8433.6
E02000468,Havering 005,2113
E02000469,Havering 006,4248.9
E02000470,Havering 007,1446.5
E02000471,Havering 008,3653.8
E02000472,Havering 009,6167.9
E02000473,Havering 010,3674.7
E02000474,Havering 011,4161
E02000475,Havering 012,3430.1
E02000476,Havering 013,5976.6
E02000477,Havering 014,5450.7
E02000478,Havering 015,2404.1
E02000479,Havering 016,6871.5
E02000480,Havering 017,4100.7
E02000481,Havering 018,672.5
E02000482,Havering 019,2327.9
E02000483,Havering 020,4991.9
E02000484,Havering 021,4588.8
E02000485,Havering 022,4048.3
E02000486,Havering 023,5771.8
E02000487,Havering 024,614.3
E02000488,Havering 025,4144.7
E02000489,Havering 026,3321.9
E02000490,Havering 027,4128
E02000491,Havering 028,2216.4
E02000492,Havering 029,486.3
E02000493,Havering 030,5226.1
E02000494,Hillingdon 001,1279.2
E02000495,Hillingdon 002,3819.1
E02000496,Hillingdon 003,512.4
E02000497,Hillingdon 004,3523.6
E02000498,Hillingdon 005,2032.3
E02000499,Hillingdon 006,4803.3
E02000500,Hillingdon 007,2856.6
E02000501,Hillingdon 008,5899.3
E02000502,Hillingdon 009,2143.3
E02000503,Hillingdon 010,6296.6
E02000504,Hillingdon 011,2494.5
E02000506,Hillingdon 013,1451.3
E02000507,Hillingdon 014,3066.5
E02000508,Hillingdon 015,4350
E02000509,Hillingdon 016,5241.1
E02000510,Hillingdon 017,4277.7
E02000511,Hillingdon 018,4158.6
E02000512,Hillingdon 019,6269
E02000513,Hillingdon 020,6633.6
E02000514,Hillingdon 021,8900.9
E02000515,Hillingdon 022,4216.5
E02000516,Hillingdon 023,5224.5
E02000517,Hillingdon 024,6767.1
E02000518,Hillingdon 025,3817.4
E02000519,Hillingdon 026,5259
E02000520,Hillingdon 027,3224.6
E02000521,Hillingdon 028,5374.9
E02000522,Hillingdon 029,6100.1
E02000523,Hillingdon 030,6906.9
E02000524,Hillingdon 031,367.4
E02000525,Hillingdon 032,2473.7
E02000526,Hounslow 001,9345.6
E02000529,Hounslow 004,8221.4
E02000530,Hounslow 005,2981.8
E02000531,Hounslow 006,4527.3
E02000532,Hounslow 007,3920
E02000533,Hounslow 008,7912.2
E02000534,Hounslow 009,1758.6
E02000535,Hounslow 010,6485.6
E02000536,Hounslow 011,6749.1
E02000537,Hounslow 012,5214.2
E02000538,Hounslow 013,4291.5
E02000539,Hounslow 014,7425.6
E02000540,Hounslow 015,9666.7
E02000541,Hounslow 016,10069.2
E02000542,Hounslow 017,11762
E02000543,Hounslow 018,12233.3
E02000544,Hounslow 019,6175.2
E02000545,Hounslow 020,7037.7
E02000546,Hounslow 021,4238.4
E02000547,Hounslow 022,3369.3
E02000548,Hounslow 023,2997.3
E02000549,Hounslow 024,5106.5
E02000550,Hounslow 025,11335.4
E02000551,Hounslow 026,4578.4
E02000552,Hounslow 027,3025.4
E02000553,Hounslow 028,2821.2
E02000554,Islington 001,14685.3
E02000555,Islington 002,16056
E02000556,Islington 003,17510.8
E02000557,Islington 004,12394.9
E02000558,Islington 005,19619.4
E02000559,Islington 006,16609.5
E02000560,Islington 007,14619.4
E02000561,Islington 008,12040.7
E02000562,Islington 009,12137.3
E02000563,Islington 010,14966.4
E02000564,Islington 011,15377
E02000565,Islington 012,16654.3
E02000566,Islington 013,12215.9
E02000567,Islington 014,15710.4
E02000568,Islington 015,12560.4
E02000569,Islington 016,14190.5
E02000570,Islington 017,13782.4
E02000571,Islington 018,17861.9
E02000572,Islington 019,18765.3
E02000573,Islington 020,14250.4
E02000574,Islington 021,12879
E02000575,Islington 022,12169.8
E02000576,Islington 023,14117.7
E02000577,Kensington and Chelsea 001,8849
E02000578,Kensington and Chelsea 002,11687.8
E02000579,Kensington and Chelsea 003,14730.5
E02000580,Kensington and Chelsea 004,19931.8
E02000581,Kensington and Chelsea 005,17134.9
E02000582,Kensington and Chelsea 006,13407.8
E02000583,Kensington and Chelsea 007,11167.5
E02000584,Kensington and Chelsea 008,7870.8
E02000585,Kensington and Chelsea 009,8908.5
E02000586,Kensington and Chelsea 010,12324.4
E02000587,Kensington and Chelsea 011,12437.3
E02000588,Kensington and Chelsea 012,7800.5
E02000589,Kensington and Chelsea 013,19552.3
E02000590,Kensington and Chelsea 014,12972.9
E02000591,Kensington and Chelsea 015,17221.3
E02000592,Kensington and Chelsea 016,10156.8
E02000593,Kensington and Chelsea 017,14839.4
E02000594,Kensington and Chelsea 018,8343.4
E02000595,Kensington and Chelsea 019,9699.4
E02000596,Kensington and Chelsea 020,12083.3
E02000597,Kensington and Chelsea 021,16040.5
E02000598,Kingston upon Thames 001,6083.6
E02000599,Kingston upon Thames 002,1686.5
E02000600,Kingston upon Thames 003,7564.2
E02000601,Kingston upon Thames 004,11112.8
E02000602,Kingston upon Thames 005,9571.2
E02000603,Kingston upon Thames 006,6524.1
E02000604,Kingston upon Thames 007,6029.1
E02000605,Kingston upon Thames 008,5902.9
E02000606,Kingston upon Thames 009,7050.1
E02000607,Kingston upon Thames 010,4716.1
E02000608,Kingston upon Thames 011,8765.4
E02000609,Kingston upon Thames 012,5174
E02000610,Kingston upon Thames 013,7146.2
E02000611,Kingston upon Thames 014,4135.6
E02000612,Kingston upon Thames 015,4372.8
E02000613,Kingston upon Thames 016,6725.7
E02000614,Kingston upon Thames 017,3147.4
E02000615,Kingston upon Thames 018,4817.5
E02000616,Kingston upon Thames 019,4620.7
E02000617,Kingston upon Thames 020,1252.6
E02000619,Lambeth 002,16582.8
E02000620,Lambeth 003,13499.2
E02000621,Lambeth 004,17174.2
E02000622,Lambeth 005,10789.6
E02000623,Lambeth 006,17136.9
E02000624,Lambeth 007,16729.2
E02000625,Lambeth 008,16779.1
E02000626,Lambeth 009,15045
E02000627,Lambeth 010,18154.7
E02000628,Lambeth 011,16445.6
E02000629,Lambeth 012,14212
E02000630,Lambeth 013,11108.2
E02000631,Lambeth 014,8947
E02000632,Lambeth 015,18151.9
E02000633,Lambeth 016,14500.6
E02000634,Lambeth 017,12994.2
E02000635,Lambeth 018,7896.3
E02000636,Lambeth 019,8353.5
E02000637,Lambeth 020,14384.5
E02000638,Lambeth 021,14968.6
E02000639,Lambeth 022,14241
E02000640,Lambeth 023,11359.2
E02000641,Lambeth 024,14129
E02000642,Lambeth 025,9047.2
E02000643,Lambeth 026,13395.2
E02000644,Lambeth 027,9421.7
E02000645,Lambeth 028,8413.2
E02000646,Lambeth 029,10021.1
E02000647,Lambeth 030,8881.5
E02000648,Lambeth 031,11111.9
E02000649,Lambeth 032,12043.4
E02000650,Lambeth 033,9926.2
E02000651,Lambeth 034,7803.9
E02000652,Lambeth 035,10998.1
E02000653,Lewisham 001,18645.4
E02000654,Lewisham 002,9287.5
E02000655,Lewisham 003,10508.9
E02000657,Lewisham 005,11336.7
E02000658,Lewisham 006,11135.7
E02000659,Lewisham 007,7859.4
E02000660,Lewisham 008,10100.9
E02000661,Lewisham 009,5046.2
E02000662,Lewisham 010,10772.7
E02000663,Lewisham 011,10361.3
E02000665,Lewisham 013,10189.9
E02000666,Lewisham 014,7550.7
E02000667,Lewisham 015,9193
E02000668,Lewisham 016,6798.1
E02000669,Lewisham 017,12413.6
E02000670,Lewisham 018,10790
E02000671,Lewisham 019,8790.1
E02000672,Lewisham 020,8860.5
E02000673,Lewisham 021,7676.9
E02000674,Lewisham 022,10341.3
E02000675,Lewisham 023,5949.2
E02000676,Lewisham 024,10480
E02000677,Lewisham 025,6865.4
E02000678,Lewisham 026,6736.7
E02000679,Lewisham 027,8664.1
E02000680,Lewisham 028,9170
E02000681,Lewisham 029,6258.7
E02000682,Lewisham 030,7504
E02000683,Lewisham 031,7056.6
E02000685,Lewisham 033,8407.6
E02000686,Lewisham 034,4353.3
E02000687,Lewisham 035,10636.9
E02000689,Merton 001,4645.7
E02000690,Merton 002,1022.6
E02000691,Merton 003,7923.1
E02000692,Merton 004,6690.3
E02000693,Merton 005,9406.2
E02000694,Merton 006,11754.9
E02000695,Merton 007,10712.9
E02000696,Merton 008,11646.4
E02000697,Merton 009,7535.8
E02000698,Merton 010,4692.8
E02000699,Merton 011,8825.6
E02000700,Merton 012,9394.7
E02000701,Merton 013,9418.7
E02000702,Merton 014,5982.4
E02000703,Merton 015,5399
E02000704,Merton 016,5146
E02000705,Merton 017,7512.1
E02000706,Merton 018,11093.3
E02000707,Merton 019,7162.2
E02000708,Merton 020,5398.5
E02000709,Merton 021,4645.4
E02000710,Merton 022,2847.6
E02000711,Merton 023,7096.5
E02000712,Merton 024,5929
E02000713,Merton 025,5088
E02000714,Newham 001,14037.9
E02000715,Newham 002,16767
E02000716,Newham 003,4691.1
E02000717,Newham 004,16818.3
E02000718,Newham 005,11847.7
E02000719,Newham 006,11631.9
E02000720,Newham 007,14275.6
E02000721,Newham 008,16184.5
E02000722,Newham 009,18000.9
E02000723,Newham 010,15765.4
E02000724,Newham 011,20175.1
E02000725,Newham 012,12598.7
E02000727,Newham 014,21589
E02000728,Newham 015,13006.4
E02000729,Newham 016,10404.7
E02000730,Newham 017,19725.9
E02000731,Newham 018,17149.3
E02000732,Newham 019,20154
E02000733,Newham 020,13641.4
E02000734,Newham 021,19180.5
E02000735,Newham 022,15708.8
E02000736,Newham 023,7344.4
E02000737,Newham 024,12342.7
E02000738,Newham 025,20855.8
E02000739,Newham 026,17035.7
E02000740,Newham 027,5348.6
E02000741,Newham 028,10913.3
E02000742,Newham 029,11003.8
E02000743,Newham 030,16407.6
E02000744,Newham 031,15329.2
E02000745,Newham 032,11870.8
E02000746,Newham 033,2237
E02000747,Newham 034,6901.7
E02000748,Newham 035,4711.9
E02000749,Newham 036,6731
E02000751,Redbridge 001,3629.4
E02000752,Redbridge 002,1798
E02000753,Redbridge 003,9134.1
E02000754,Redbridge 004,5489.5
E02000755,Redbridge 005,4073.2
E02000756,Redbridge 006,4061
E02000757,Redbridge 007,8308
E02000758,Redbridge 008,6005.2
E02000759,Redbridge 009,5582.9
E02000760,Redbridge 010,7250.5
E02000762,Redbridge 012,8261.8
E02000763,Redbridge 013,1036.1
E02000764,Redbridge 014,6195
E02000765,Redbridge 015,10376.4
E02000767,Redbridge 017,9835.8
E02000768,Redbridge 018,3407.1
E02000770,Redbridge 020,6975.4
E02000772,Redbridge 022,5974.2
E02000773,Redbridge 023,11274.2
E02000774,Redbridge 024,11940.8
E02000776,Redbridge 026,11725.8
E02000777,Redbridge 027,1715.6
E02000779,Redbridge 029,9418.2
E02000781,Redbridge 031,8648
E02000782,Redbridge 032,16771.8
E02000783,Redbridge 033,13056.1
E02000784,Richmond upon Thames 001,3837.1
E02000785,Richmond upon Thames 002,2397.3
E02000786,Richmond upon Thames 003,6171.4
E02000787,Richmond upon Thames 004,6867.4
E02000788,Richmond upon Thames 005,8385.4
E02000789,Richmond upon Thames 006,3432.7
E02000790,Richmond upon Thames 007,8290.3
E02000791,Richmond upon Thames 008,5779.6
E02000792,Richmond upon Thames 009,5739.1
E02000793,Richmond upon Thames 010,6110.2
E02000794,Richmond upon Thames 011,4790.7
E02000795,Richmond upon Thames 012,573.2
E02000796,Richmond upon Thames 013,5797.7
E02000797,Richmond upon Thames 014,8635.7
E02000798,Richmond upon Thames 015,4603.8
E02000799,Richmond upon Thames 016,5139.7
E02000800,Richmond upon Thames 017,2951.5
E02000801,Richmond upon Thames 018,7181.8
E02000802,Richmond upon Thames 019,4844.4
E02000803,Richmond upon Thames 020,4983.3
E02000804,Richmond upon Thames 021,1907.2
E02000805,Richmond upon Thames 022,3923.2
E02000806,Richmond upon Thames 023,1497.6
E02000807,Southwark 001,11517.6
E02000808,Southwark 002,9669.1
E02000810,Southwark 004,17338.6
E02000812,Southwark 006,15374.1
E02000813,Southwark 007,11445.4
E02000814,Southwark 008,10488.2
E02000815,Southwark 009,18072.2
E02000816,Southwark 010,12650.1
E02000817,Southwark 011,10297.4
E02000818,Southwark 012,16725.3
E02000819,Southwark 013,15832.7
E02000820,Southwark 014,20539.9
E02000821,Southwark 015,13031.6
E02000822,Southwark 016,14021.3
E02000823,Southwark 017,13494.4
E02000824,Southwark 018,10198.8
E02000825,Southwark 019,19201.9
E02000826,Southwark 020,17965.5
E02000827,Southwark 021,16604.5
E02000828,Southwark 022,13848.2
E02000829,Southwark 023,13778.5
E02000830,Southwark 024,10630.6
E02000831,Southwark 025,11605.7
E02000832,Southwark 026,11452.9
E02000833,Southwark 027,9060.9
E02000834,Southwark 028,7735.7
E02000835,Southwark 029,5259.9
E02000836,Southwark 030,10975
E02000837,Southwark 031,3595.3
E02000838,Southwark 032,8877.4
E02000839,Southwark 033,3070.2
