Middle layer Super Output Areas Code,Middle layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E02000496,Hillingdon 003,5,"Asian, Asian British or Asian Welsh: Other Asian",192
E02000496,Hillingdon 003,6,"Black, Black British, Black Welsh, Caribbean or African: African",128
E02000496,Hillingdon 003,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",61
E02000496,Hillingdon 003,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",23
E02000496,Hillingdon 003,9,Mixed or Multiple ethnic groups: White and Asian,108
E02000496,Hillingdon 003,10,Mixed or Multiple ethnic groups: White and Black African,48
E02000496,Hillingdon 003,11,Mixed or Multiple ethnic groups: White and Black Caribbean,73
E02000496,Hillingdon 003,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,81
E02000496,Hillingdon 003,13,"White: English, Welsh, Scottish, Northern Irish or British",5731
E02000496,Hillingdon 003,14,White: Irish,186
E02000496,Hillingdon 003,15,White: Gypsy or Irish Traveller,29
E02000496,Hillingdon 003,16,White: Roma,5
E02000496,Hillingdon 003,17,White: Other White,428
E02000496,Hillingdon 003,18,Other ethnic group: Arab,37
E02000496,Hillingdon 003,19,Other ethnic group: Any other ethnic group,131
E02000497,Hillingdon 004,-8,Does not apply,0
E02000497,Hillingdon 004,1,"Asian, Asian British or Asian Welsh: Bangladeshi",54
E02000497,Hillingdon 004,2,"Asian, Asian British or Asian Welsh: Chinese",118
E02000497,Hillingdon 004,3,"Asian, Asian British or Asian Welsh: Indian",1727
E02000497,Hillingdon 004,4,"Asian, Asian British or Asian Welsh: Pakistani",240
E02000497,Hillingdon 004,5,"Asian, Asian British or Asian Welsh: Other Asian",352
E02000497,Hillingdon 004,6,"Black, Black British, Black Welsh, Caribbean or African: African",254
E02000497,Hillingdon 004,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",138
E02000497,Hillingdon 004,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",47
E02000497,Hillingdon 004,9,Mixed or Multiple ethnic groups: White and Asian,130
E02000497,Hillingdon 004,10,Mixed or Multiple ethnic groups: White and Black African,61
E02000497,Hillingdon 004,11,Mixed or Multiple ethnic groups: White and Black Caribbean,111
E02000497,Hillingdon 004,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,113
E02000497,Hillingdon 004,13,"White: English, Welsh, Scottish, Northern Irish or British",4788
E02000497,Hillingdon 004,14,White: Irish,193
E02000497,Hillingdon 004,15,White: Gypsy or Irish Traveller,1
E02000497,Hillingdon 004,16,White: Roma,28
E02000497,Hillingdon 004,17,White: Other White,794
E02000497,Hillingdon 004,18,Other ethnic group: Arab,123
E02000497,Hillingdon 004,19,Other ethnic group: Any other ethnic group,249
E02000498,Hillingdon 005,-8,Does not apply,0
E02000498,Hillingdon 005,1,"Asian, Asian British or Asian Welsh: Bangladeshi",29
E02000498,Hillingdon 005,2,"Asian, Asian British or Asian Welsh: Chinese",51
E02000498,Hillingdon 005,3,"Asian, Asian British or Asian Welsh: Indian",559
E02000498,Hillingdon 005,4,"Asian, Asian British or Asian Welsh: Pakistani",80
E02000498,Hillingdon 005,5,"Asian, Asian British or Asian Welsh: Other Asian",136
E02000498,Hillingdon 005,6,"Black, Black British, Black Welsh, Caribbean or African: African",69
E02000498,Hillingdon 005,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",77
E02000498,Hillingdon 005,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",19
E02000498,Hillingdon 005,9,Mixed or Multiple ethnic groups: White and Asian,119
E02000498,Hillingdon 005,10,Mixed or Multiple ethnic groups: White and Black African,40
E02000498,Hillingdon 005,11,Mixed or Multiple ethnic groups: White and Black Caribbean,81
E02000498,Hillingdon 005,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,56
E02000498,Hillingdon 005,13,"White: English, Welsh, Scottish, Northern Irish or British",4276
E02000498,Hillingdon 005,14,White: Irish,201
E02000498,Hillingdon 005,15,White: Gypsy or Irish Traveller,0
E02000498,Hillingdon 005,16,White: Roma,0
E02000498,Hillingdon 005,17,White: Other White,415
E02000498,Hillingdon 005,18,Other ethnic group: Arab,46
E02000498,Hillingdon 005,19,Other ethnic group: Any other ethnic group,123
E02000499,Hillingdon 006,-8,Does not apply,0
E02000499,Hillingdon 006,1,"Asian, Asian British or Asian Welsh: Bangladeshi",35
E02000499,Hillingdon 006,2,"Asian, Asian British or Asian Welsh: Chinese",97
E02000499,Hillingdon 006,3,"Asian, Asian British or Asian Welsh: Indian",1542
E02000499,Hillingdon 006,4,"Asian, Asian British or Asian Welsh: Pakistani",170
E02000499,Hillingdon 006,5,"Asian, Asian British or Asian Welsh: Other Asian",311
E02000499,Hillingdon 006,6,"Black, Black British, Black Welsh, Caribbean or African: African",100
E02000499,Hillingdon 006,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",67
E02000499,Hillingdon 006,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",13
E02000499,Hillingdon 006,9,Mixed or Multiple ethnic groups: White and Asian,132
E02000499,Hillingdon 006,10,Mixed or Multiple ethnic groups: White and Black African,15
E02000499,Hillingdon 006,11,Mixed or Multiple ethnic groups: White and Black Caribbean,60
E02000499,Hillingdon 006,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,116
E02000499,Hillingdon 006,13,"White: English, Welsh, Scottish, Northern Irish or British",4022
E02000499,Hillingdon 006,14,White: Irish,232
E02000499,Hillingdon 006,15,White: Gypsy or Irish Traveller,3
E02000499,Hillingdon 006,16,White: Roma,0
E02000499,Hillingdon 006,17,White: Other White,556
E02000499,Hillingdon 006,18,Other ethnic group: Arab,68
E02000499,Hillingdon 006,19,Other ethnic group: Any other ethnic group,188
E02000500,Hillingdon 007,-8,Does not apply,0
E02000500,Hillingdon 007,1,"Asian, Asian British or Asian Welsh: Bangladeshi",44
E02000500,Hillingdon 007,2,"Asian, Asian British or Asian Welsh: Chinese",106
E02000500,Hillingdon 007,3,"Asian, Asian British or Asian Welsh: Indian",1031
E02000500,Hillingdon 007,4,"Asian, Asian British or Asian Welsh: Pakistani",124
E02000500,Hillingdon 007,5,"Asian, Asian British or Asian Welsh: Other Asian",286
E02000500,Hillingdon 007,6,"Black, Black British, Black Welsh, Caribbean or African: African",96
E02000500,Hillingdon 007,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",59
E02000500,Hillingdon 007,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",17
E02000500,Hillingdon 007,9,Mixed or Multiple ethnic groups: White and Asian,167
E02000500,Hillingdon 007,10,Mixed or Multiple ethnic groups: White and Black African,30
E02000500,Hillingdon 007,11,Mixed or Multiple ethnic groups: White and Black Caribbean,55
E02000500,Hillingdon 007,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,103
E02000500,Hillingdon 007,13,"White: English, Welsh, Scottish, Northern Irish or British",4714
E02000500,Hillingdon 007,14,White: Irish,329
E02000500,Hillingdon 007,15,White: Gypsy or Irish Traveller,1
E02000500,Hillingdon 007,16,White: Roma,10
E02000500,Hillingdon 007,17,White: Other White,833
E02000500,Hillingdon 007,18,Other ethnic group: Arab,60
E02000500,Hillingdon 007,19,Other ethnic group: Any other ethnic group,215
E02000501,Hillingdon 008,-8,Does not apply,0
E02000501,Hillingdon 008,1,"Asian, Asian British or Asian Welsh: Bangladeshi",25
E02000501,Hillingdon 008,2,"Asian, Asian British or Asian Welsh: Chinese",180
E02000501,Hillingdon 008,3,"Asian, Asian British or Asian Welsh: Indian",1216
E02000501,Hillingdon 008,4,"Asian, Asian British or Asian Welsh: Pakistani",142
E02000501,Hillingdon 008,5,"Asian, Asian British or Asian Welsh: Other Asian",250
E02000501,Hillingdon 008,6,"Black, Black British, Black Welsh, Caribbean or African: African",133
E02000501,Hillingdon 008,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",128
E02000501,Hillingdon 008,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",31
E02000501,Hillingdon 008,9,Mixed or Multiple ethnic groups: White and Asian,157
E02000501,Hillingdon 008,10,Mixed or Multiple ethnic groups: White and Black African,39
E02000501,Hillingdon 008,11,Mixed or Multiple ethnic groups: White and Black Caribbean,72
E02000501,Hillingdon 008,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,141
E02000501,Hillingdon 008,13,"White: English, Welsh, Scottish, Northern Irish or British",4689
E02000501,Hillingdon 008,14,White: Irish,283
E02000501,Hillingdon 008,15,White: Gypsy or Irish Traveller,3
E02000501,Hillingdon 008,16,White: Roma,13
E02000501,Hillingdon 008,17,White: Other White,718
E02000501,Hillingdon 008,18,Other ethnic group: Arab,75
E02000501,Hillingdon 008,19,Other ethnic group: Any other ethnic group,179
E02000502,Hillingdon 009,-8,Does not apply,0
E02000502,Hillingdon 009,1,"Asian, Asian British or Asian Welsh: Bangladeshi",36
E02000502,Hillingdon 009,2,"Asian, Asian British or Asian Welsh: Chinese",161
E02000502,Hillingdon 009,3,"Asian, Asian British or Asian Welsh: Indian",1051
E02000502,Hillingdon 009,4,"Asian, Asian British or Asian Welsh: Pakistani",195
E02000502,Hillingdon 009,5,"Asian, Asian British or Asian Welsh: Other Asian",462
E02000502,Hillingdon 009,6,"Black, Black British, Black Welsh, Caribbean or African: African",209
E02000502,Hillingdon 009,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",148
E02000502,Hillingdon 009,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",50
E02000502,Hillingdon 009,9,Mixed or Multiple ethnic groups: White and Asian,134
E02000502,Hillingdon 009,10,Mixed or Multiple ethnic groups: White and Black African,41
E02000502,Hillingdon 009,11,Mixed or Multiple ethnic groups: White and Black Caribbean,96
E02000502,Hillingdon 009,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,132
E02000502,Hillingdon 009,13,"White: English, Welsh, Scottish, Northern Irish or British",4571
E02000502,Hillingdon 009,14,White: Irish,325
E02000502,Hillingdon 009,15,White: Gypsy or Irish Traveller,7
E02000502,Hillingdon 009,16,White: Roma,13
E02000502,Hillingdon 009,17,White: Other White,985
E02000502,Hillingdon 009,18,Other ethnic group: Arab,98
E02000502,Hillingdon 009,19,Other ethnic group: Any other ethnic group,217
E02000503,Hillingdon 010,-8,Does not apply,0
E02000503,Hillingdon 010,1,"Asian, Asian British or Asian Welsh: Bangladeshi",51
E02000503,Hillingdon 010,2,"Asian, Asian British or Asian Welsh: Chinese",112
E02000503,Hillingdon 010,3,"Asian, Asian British or Asian Welsh: Indian",914
E02000503,Hillingdon 010,4,"Asian, Asian British or Asian Welsh: Pakistani",128
E02000503,Hillingdon 010,5,"Asian, Asian British or Asian Welsh: Other Asian",361
E02000503,Hillingdon 010,6,"Black, Black British, Black Welsh, Caribbean or African: African",118
E02000503,Hillingdon 010,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",145
E02000503,Hillingdon 010,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",31
E02000503,Hillingdon 010,9,Mixed or Multiple ethnic groups: White and Asian,146
E02000503,Hillingdon 010,10,Mixed or Multiple ethnic groups: White and Black African,35
E02000503,Hillingdon 010,11,Mixed or Multiple ethnic groups: White and Black Caribbean,100
E02000503,Hillingdon 010,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,126
E02000503,Hillingdon 010,13,"White: English, Welsh, Scottish, Northern Irish or British",5008
E02000503,Hillingdon 010,14,White: Irish,382
E02000503,Hillingdon 010,15,White: Gypsy or Irish Traveller,2
E02000503,Hillingdon 010,16,White: Roma,15
E02000503,Hillingdon 010,17,White: Other White,736
E02000503,Hillingdon 010,18,Other ethnic group: Arab,93
E02000503,Hillingdon 010,19,Other ethnic group: Any other ethnic group,187
E02000504,Hillingdon 011,-8,Does not apply,0
E02000504,Hillingdon 011,1,"Asian, Asian British or Asian Welsh: Bangladeshi",22
E02000504,Hillingdon 011,2,"Asian, Asian British or Asian Welsh: Chinese",110
E02000504,Hillingdon 011,3,"Asian, Asian British or Asian Welsh: Indian",1110
E02000504,Hillingdon 011,4,"Asian, Asian British or Asian Welsh: Pakistani",164
E02000504,Hillingdon 011,5,"Asian, Asian British or Asian Welsh: Other Asian",221
E02000504,Hillingdon 011,6,"Black, Black British, Black Welsh, Caribbean or African: African",74
E02000504,Hillingdon 011,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",37
E02000504,Hillingdon 011,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9
E02000504,Hillingdon 011,9,Mixed or Multiple ethnic groups: White and Asian,129
E02000504,Hillingdon 011,10,Mixed or Multiple ethnic groups: White and Black African,14
E02000504,Hillingdon 011,11,Mixed or Multiple ethnic groups: White and Black Caribbean,54
E02000504,Hillingdon 011,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,83
E02000504,Hillingdon 011,13,"White: English, Welsh, Scottish, Northern Irish or British",4733
E02000504,Hillingdon 011,14,White: Irish,168
E02000504,Hillingdon 011,15,White: Gypsy or Irish Traveller,1
E02000504,Hillingdon 011,16,White: Roma,5
E02000504,Hillingdon 011,17,White: Other White,463
E02000504,Hillingdon 011,18,Other ethnic group: Arab,101
E02000504,Hillingdon 011,19,Other ethnic group: Any other ethnic group,146
E02000506,Hillingdon 013,-8,Does not apply,0
E02000506,Hillingdon 013,1,"Asian, Asian British or Asian Welsh: Bangladeshi",43
E02000506,Hillingdon 013,2,"Asian, Asian British or Asian Welsh: Chinese",107
E02000506,Hillingdon 013,3,"Asian, Asian British or Asian Welsh: Indian",1808
E02000506,Hillingdon 013,4,"Asian, Asian British or Asian Welsh: Pakistani",422
E02000506,Hillingdon 013,5,"Asian, Asian British or Asian Welsh: Other Asian",304
E02000506,Hillingdon 013,6,"Black, Black British, Black Welsh, Caribbean or African: African",142
E02000506,Hillingdon 013,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",61
E02000506,Hillingdon 013,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",30
E02000506,Hillingdon 013,9,Mixed or Multiple ethnic groups: White and Asian,128
E02000506,Hillingdon 013,10,Mixed or Multiple ethnic groups: White and Black African,33
E02000506,Hillingdon 013,11,Mixed or Multiple ethnic groups: White and Black Caribbean,42
E02000506,Hillingdon 013,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,110
E02000506,Hillingdon 013,13,"White: English, Welsh, Scottish, Northern Irish or British",3525
E02000506,Hillingdon 013,14,White: Irish,191
E02000506,Hillingdon 013,15,White: Gypsy or Irish Traveller,7
E02000506,Hillingdon 013,16,White: Roma,6
E02000506,Hillingdon 013,17,White: Other White,449
E02000506,Hillingdon 013,18,Other ethnic group: Arab,190
E02000506,Hillingdon 013,19,Other ethnic group: Any other ethnic group,366
E02000507,Hillingdon 014,-8,Does not apply,0
E02000507,Hillingdon 014,1,"Asian, Asian British or Asian Welsh: Bangladeshi",85
E02000507,Hillingdon 014,2,"Asian, Asian British or Asian Welsh: Chinese",111
E02000507,Hillingdon 014,3,"Asian, Asian British or Asian Welsh: Indian",1300
E02000507,Hillingdon 014,4,"Asian, Asian British or Asian Welsh: Pakistani",316
E02000507,Hillingdon 014,5,"Asian, Asian British or Asian Welsh: Other Asian",513
E02000507,Hillingdon 014,6,"Black, Black British, Black Welsh, Caribbean or African: African",257
E02000507,Hillingdon 014,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",153
E02000507,Hillingdon 014,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",51
E02000507,Hillingdon 014,9,Mixed or Multiple ethnic groups: White and Asian,136
E02000507,Hillingdon 014,10,Mixed or Multiple ethnic groups: White and Black African,43
E02000507,Hillingdon 014,11,Mixed or Multiple ethnic groups: White and Black Caribbean,99
E02000507,Hillingdon 014,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,131
E02000507,Hillingdon 014,13,"White: English, Welsh, Scottish, Northern Irish or British",3721
E02000507,Hillingdon 014,14,White: Irish,145
E02000507,Hillingdon 014,15,White: Gypsy or Irish Traveller,3
E02000507,Hillingdon 014,16,White: Roma,15
E02000507,Hillingdon 014,17,White: Other White,698
E02000507,Hillingdon 014,18,Other ethnic group: Arab,151
E02000507,Hillingdon 014,19,Other ethnic group: Any other ethnic group,315
E02000508,Hillingdon 015,-8,Does not apply,0
E02000508,Hillingdon 015,1,"Asian, Asian British or Asian Welsh: Bangladeshi",243
E02000508,Hillingdon 015,2,"Asian, Asian British or Asian Welsh: Chinese",286
E02000508,Hillingdon 015,3,"Asian, Asian British or Asian Welsh: Indian",1510
E02000508,Hillingdon 015,4,"Asian, Asian British or Asian Welsh: Pakistani",475
E02000508,Hillingdon 015,5,"Asian, Asian British or Asian Welsh: Other Asian",701
E02000508,Hillingdon 015,6,"Black, Black British, Black Welsh, Caribbean or African: African",612
E02000508,Hillingdon 015,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",223
E02000508,Hillingdon 015,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",91
E02000508,Hillingdon 015,9,Mixed or Multiple ethnic groups: White and Asian,197
E02000508,Hillingdon 015,10,Mixed or Multiple ethnic groups: White and Black African,88
E02000508,Hillingdon 015,11,Mixed or Multiple ethnic groups: White and Black Caribbean,141
E02000508,Hillingdon 015,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,339
E02000508,Hillingdon 015,13,"White: English, Welsh, Scottish, Northern Irish or British",4434
E02000508,Hillingdon 015,14,White: Irish,237
E02000508,Hillingdon 015,15,White: Gypsy or Irish Traveller,10
E02000508,Hillingdon 015,16,White: Roma,61
E02000508,Hillingdon 015,17,White: Other White,1558
E02000508,Hillingdon 015,18,Other ethnic group: Arab,300
E02000508,Hillingdon 015,19,Other ethnic group: Any other ethnic group,444
E02000509,Hillingdon 016,-8,Does not apply,0
E02000509,Hillingdon 016,1,"Asian, Asian British or Asian Welsh: Bangladeshi",452
E02000509,Hillingdon 016,2,"Asian, Asian British or Asian Welsh: Chinese",263
E02000509,Hillingdon 016,3,"Asian, Asian British or Asian Welsh: Indian",882
E02000509,Hillingdon 016,4,"Asian, Asian British or Asian Welsh: Pakistani",542
E02000509,Hillingdon 016,5,"Asian, Asian British or Asian Welsh: Other Asian",591
E02000509,Hillingdon 016,6,"Black, Black British, Black Welsh, Caribbean or African: African",755
E02000509,Hillingdon 016,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",193
E02000509,Hillingdon 016,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",83
E02000509,Hillingdon 016,9,Mixed or Multiple ethnic groups: White and Asian,194
E02000509,Hillingdon 016,10,Mixed or Multiple ethnic groups: White and Black African,155
E02000509,Hillingdon 016,11,Mixed or Multiple ethnic groups: White and Black Caribbean,160
E02000509,Hillingdon 016,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,208
E02000509,Hillingdon 016,13,"White: English, Welsh, Scottish, Northern Irish or British",3723
E02000509,Hillingdon 016,14,White: Irish,200
E02000509,Hillingdon 016,15,White: Gypsy or Irish Traveller,18
E02000509,Hillingdon 016,16,White: Roma,38
E02000509,Hillingdon 016,17,White: Other White,1532
E02000509,Hillingdon 016,18,Other ethnic group: Arab,207
E02000509,Hillingdon 016,19,Other ethnic group: Any other ethnic group,362
E02000510,Hillingdon 017,-8,Does not apply,0
E02000510,Hillingdon 017,1,"Asian, Asian British or Asian Welsh: Bangladeshi",151
E02000510,Hillingdon 017,2,"Asian, Asian British or Asian Welsh: Chinese",98
E02000510,Hillingdon 017,3,"Asian, Asian British or Asian Welsh: Indian",1419
E02000510,Hillingdon 017,4,"Asian, Asian British or Asian Welsh: Pakistani",467
E02000510,Hillingdon 017,5,"Asian, Asian British or Asian Welsh: Other Asian",716
E02000510,Hillingdon 017,6,"Black, Black British, Black Welsh, Caribbean or African: African",362
E02000510,Hillingdon 017,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",142
E02000510,Hillingdon 017,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",52
E02000510,Hillingdon 017,9,Mixed or Multiple ethnic groups: White and Asian,136
E02000510,Hillingdon 017,10,Mixed or Multiple ethnic groups: White and Black African,66
E02000510,Hillingdon 017,11,Mixed or Multiple ethnic groups: White and Black Caribbean,88
E02000510,Hillingdon 017,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,146
E02000510,Hillingdon 017,13,"White: English, Welsh, Scottish, Northern Irish or British",3811
E02000510,Hillingdon 017,14,White: Irish,195
E02000510,Hillingdon 017,15,White: Gypsy or Irish Traveller,5
E02000510,Hillingdon 017,16,White: Roma,16
E02000510,Hillingdon 017,17,White: Other White,650
E02000510,Hillingdon 017,18,Other ethnic group: Arab,185
E02000510,Hillingdon 017,19,Other ethnic group: Any other ethnic group,409
E02000511,Hillingdon 018,-8,Does not apply,0
E02000511,Hillingdon 018,1,"Asian, Asian British or Asian Welsh: Bangladeshi",98
E02000511,Hillingdon 018,2,"Asian, Asian British or Asian Welsh: Chinese",28
E02000511,Hillingdon 018,3,"Asian, Asian British or Asian Welsh: Indian",1871
E02000511,Hillingdon 018,4,"Asian, Asian British or Asian Welsh: Pakistani",548
E02000511,Hillingdon 018,5,"Asian, Asian British or Asian Welsh: Other Asian",1223
E02000511,Hillingdon 018,6,"Black, Black British, Black Welsh, Caribbean or African: African",418
E02000511,Hillingdon 018,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",299
E02000511,Hillingdon 018,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",121
E02000511,Hillingdon 018,9,Mixed or Multiple ethnic groups: White and Asian,109
E02000511,Hillingdon 018,10,Mixed or Multiple ethnic groups: White and Black African,43
E02000511,Hillingdon 018,11,Mixed or Multiple ethnic groups: White and Black Caribbean,88
E02000511,Hillingdon 018,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,110
E02000511,Hillingdon 018,13,"White: English, Welsh, Scottish, Northern Irish or British",3192
E02000511,Hillingdon 018,14,White: Irish,177
E02000511,Hillingdon 018,15,White: Gypsy or Irish Traveller,10
E02000511,Hillingdon 018,16,White: Roma,13
E02000511,Hillingdon 018,17,White: Other White,668
E02000511,Hillingdon 018,18,Other ethnic group: Arab,160
E02000511,Hillingdon 018,19,Other ethnic group: Any other ethnic group,758
E02000512,Hillingdon 019,-8,Does not apply,0
E02000512,Hillingdon 019,1,"Asian, Asian British or Asian Welsh: Bangladeshi",159
E02000512,Hillingdon 019,2,"Asian, Asian British or Asian Welsh: Chinese",35
E02000512,Hillingdon 019,3,"Asian, Asian British or Asian Welsh: Indian",1339
E02000512,Hillingdon 019,4,"Asian, Asian British or Asian Welsh: Pakistani",474
E02000512,Hillingdon 019,5,"Asian, Asian British or Asian Welsh: Other Asian",806
E02000512,Hillingdon 019,6,"Black, Black British, Black Welsh, Caribbean or African: African",640
E02000512,Hillingdon 019,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",269
E02000512,Hillingdon 019,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",102
E02000512,Hillingdon 019,9,Mixed or Multiple ethnic groups: White and Asian,114
E02000512,Hillingdon 019,10,Mixed or Multiple ethnic groups: White and Black African,57
E02000512,Hillingdon 019,11,Mixed or Multiple ethnic groups: White and Black Caribbean,123
E02000512,Hillingdon 019,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,146
E02000512,Hillingdon 019,13,"White: English, Welsh, Scottish, Northern Irish or British",3097
E02000512,Hillingdon 019,14,White: Irish,109
E02000512,Hillingdon 019,15,White: Gypsy or Irish Traveller,8
E02000512,Hillingdon 019,16,White: Roma,37
E02000512,Hillingdon 019,17,White: Other White,668
E02000512,Hillingdon 019,18,Other ethnic group: Arab,161
E02000512,Hillingdon 019,19,Other ethnic group: Any other ethnic group,479
E02000513,Hillingdon 020,-8,Does not apply,0
E02000513,Hillingdon 020,1,"Asian, Asian British or Asian Welsh: Bangladeshi",149
E02000513,Hillingdon 020,2,"Asian, Asian British or Asian Welsh: Chinese",51
E02000513,Hillingdon 020,3,"Asian, Asian British or Asian Welsh: Indian",1569
E02000513,Hillingdon 020,4,"Asian, Asian British or Asian Welsh: Pakistani",603
E02000513,Hillingdon 020,5,"Asian, Asian British or Asian Welsh: Other Asian",1493
E02000513,Hillingdon 020,6,"Black, Black British, Black Welsh, Caribbean or African: African",1176
E02000513,Hillingdon 020,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",283
E02000513,Hillingdon 020,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",179
E02000513,Hillingdon 020,9,Mixed or Multiple ethnic groups: White and Asian,104
E02000513,Hillingdon 020,10,Mixed or Multiple ethnic groups: White and Black African,63
E02000513,Hillingdon 020,11,Mixed or Multiple ethnic groups: White and Black Caribbean,110
E02000513,Hillingdon 020,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,106
E02000513,Hillingdon 020,13,"White: English, Welsh, Scottish, Northern Irish or British",2177
E02000513,Hillingdon 020,14,White: Irish,88
E02000513,Hillingdon 020,15,White: Gypsy or Irish Traveller,8
E02000513,Hillingdon 020,16,White: Roma,29
E02000513,Hillingdon 020,17,White: Other White,749
E02000513,Hillingdon 020,18,Other ethnic group: Arab,173
E02000513,Hillingdon 020,19,Other ethnic group: Any other ethnic group,650
E02000514,Hillingdon 021,-8,Does not apply,0
E02000514,Hillingdon 021,1,"Asian, Asian British or Asian Welsh: Bangladeshi",280
E02000514,Hillingdon 021,2,"Asian, Asian British or Asian Welsh: Chinese",17
E02000514,Hillingdon 021,3,"Asian, Asian British or Asian Welsh: Indian",3435
E02000514,Hillingdon 021,4,"Asian, Asian British or Asian Welsh: Pakistani",655
E02000514,Hillingdon 021,5,"Asian, Asian British or Asian Welsh: Other Asian",1894
E02000514,Hillingdon 021,6,"Black, Black British, Black Welsh, Caribbean or African: African",662
E02000514,Hillingdon 021,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",228
E02000514,Hillingdon 021,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",109
E02000514,Hillingdon 021,9,Mixed or Multiple ethnic groups: White and Asian,83
E02000514,Hillingdon 021,10,Mixed or Multiple ethnic groups: White and Black African,33
E02000514,Hillingdon 021,11,Mixed or Multiple ethnic groups: White and Black Caribbean,65
E02000514,Hillingdon 021,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,74
E02000514,Hillingdon 021,13,"White: English, Welsh, Scottish, Northern Irish or British",1342
E02000514,Hillingdon 021,14,White: Irish,106
E02000514,Hillingdon 021,15,White: Gypsy or Irish Traveller,1
E02000514,Hillingdon 021,16,White: Roma,20
E02000514,Hillingdon 021,17,White: Other White,529
E02000514,Hillingdon 021,18,Other ethnic group: Arab,106
E02000514,Hillingdon 021,19,Other ethnic group: Any other ethnic group,1034
E02000515,Hillingdon 022,-8,Does not apply,0
E02000515,Hillingdon 022,1,"Asian, Asian British or Asian Welsh: Bangladeshi",333
E02000515,Hillingdon 022,2,"Asian, Asian British or Asian Welsh: Chinese",153
E02000515,Hillingdon 022,3,"Asian, Asian British or Asian Welsh: Indian",1422
E02000515,Hillingdon 022,4,"Asian, Asian British or Asian Welsh: Pakistani",507
E02000515,Hillingdon 022,5,"Asian, Asian British or Asian Welsh: Other Asian",770
E02000515,Hillingdon 022,6,"Black, Black British, Black Welsh, Caribbean or African: African",860
E02000515,Hillingdon 022,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",506
E02000515,Hillingdon 022,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",119
E02000515,Hillingdon 022,9,Mixed or Multiple ethnic groups: White and Asian,134
