Middle layer Super Output Areas Code,Middle layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E02000005,Barking and Dagenham 004,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,94
E02000005,Barking and Dagenham 004,13,"White: English, Welsh, Scottish, Northern Irish or British",3582
E02000005,Barking and Dagenham 004,14,White: Irish,69
E02000005,Barking and Dagenham 004,15,White: Gypsy or Irish Traveller,7
E02000005,Barking and Dagenham 004,16,White: Roma,35
E02000005,Barking and Dagenham 004,17,White: Other White,1224
E02000005,Barking and Dagenham 004,18,Other ethnic group: Arab,53
E02000005,Barking and Dagenham 004,19,Other ethnic group: Any other ethnic group,344
E02000007,Barking and Dagenham 006,-8,Does not apply,0
E02000007,Barking and Dagenham 006,1,"Asian, Asian British or Asian Welsh: Bangladeshi",569
E02000007,Barking and Dagenham 006,2,"Asian, Asian British or Asian Welsh: Chinese",63
E02000007,Barking and Dagenham 006,3,"Asian, Asian British or Asian Welsh: Indian",250
E02000007,Barking and Dagenham 006,4,"Asian, Asian British or Asian Welsh: Pakistani",386
E02000007,Barking and Dagenham 006,5,"Asian, Asian British or Asian Welsh: Other Asian",223
E02000007,Barking and Dagenham 006,6,"Black, Black British, Black Welsh, Caribbean or African: African",2073
E02000007,Barking and Dagenham 006,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",279
E02000007,Barking and Dagenham 006,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",302
E02000007,Barking and Dagenham 006,9,Mixed or Multiple ethnic groups: White and Asian,76
E02000007,Barking and Dagenham 006,10,Mixed or Multiple ethnic groups: White and Black African,117
E02000007,Barking and Dagenham 006,11,Mixed or Multiple ethnic groups: White and Black Caribbean,133
E02000007,Barking and Dagenham 006,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,100
E02000007,Barking and Dagenham 006,13,"White: English, Welsh, Scottish, Northern Irish or British",4059
E02000007,Barking and Dagenham 006,14,White: Irish,49
E02000007,Barking and Dagenham 006,15,White: Gypsy or Irish Traveller,3
E02000007,Barking and Dagenham 006,16,White: Roma,38
E02000007,Barking and Dagenham 006,17,White: Other White,1035
E02000007,Barking and Dagenham 006,18,Other ethnic group: Arab,95
E02000007,Barking and Dagenham 006,19,Other ethnic group: Any other ethnic group,314
E02000008,Barking and Dagenham 007,-8,Does not apply,0
E02000008,Barking and Dagenham 007,1,"Asian, Asian British or Asian Welsh: Bangladeshi",957
E02000008,Barking and Dagenham 007,2,"Asian, Asian British or Asian Welsh: Chinese",52
E02000008,Barking and Dagenham 007,3,"Asian, Asian British or Asian Welsh: Indian",419
E02000008,Barking and Dagenham 007,4,"Asian, Asian British or Asian Welsh: Pakistani",833
E02000008,Barking and Dagenham 007,5,"Asian, Asian British or Asian Welsh: Other Asian",224
E02000008,Barking and Dagenham 007,6,"Black, Black British, Black Welsh, Caribbean or African: African",1877
E02000008,Barking and Dagenham 007,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",361
E02000008,Barking and Dagenham 007,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",322
E02000008,Barking and Dagenham 007,9,Mixed or Multiple ethnic groups: White and Asian,57
E02000008,Barking and Dagenham 007,10,Mixed or Multiple ethnic groups: White and Black African,140
E02000008,Barking and Dagenham 007,11,Mixed or Multiple ethnic groups: White and Black Caribbean,215
E02000008,Barking and Dagenham 007,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,132
E02000008,Barking and Dagenham 007,13,"White: English, Welsh, Scottish, Northern Irish or British",5378
E02000008,Barking and Dagenham 007,14,White: Irish,50
E02000008,Barking and Dagenham 007,15,White: Gypsy or Irish Traveller,5
E02000008,Barking and Dagenham 007,16,White: Roma,45
E02000008,Barking and Dagenham 007,17,White: Other White,1761
E02000008,Barking and Dagenham 007,18,Other ethnic group: Arab,49
E02000008,Barking and Dagenham 007,19,Other ethnic group: Any other ethnic group,377
E02000009,Barking and Dagenham 008,-8,Does not apply,0
E02000009,Barking and Dagenham 008,1,"Asian, Asian British or Asian Welsh: Bangladeshi",994
E02000009,Barking and Dagenham 008,2,"Asian, Asian British or Asian Welsh: Chinese",75
E02000009,Barking and Dagenham 008,3,"Asian, Asian British or Asian Welsh: Indian",660
E02000009,Barking and Dagenham 008,4,"Asian, Asian British or Asian Welsh: Pakistani",989
E02000009,Barking and Dagenham 008,5,"Asian, Asian British or Asian Welsh: Other Asian",387
E02000009,Barking and Dagenham 008,6,"Black, Black British, Black Welsh, Caribbean or African: African",2258
E02000009,Barking and Dagenham 008,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",330
E02000009,Barking and Dagenham 008,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",353
E02000009,Barking and Dagenham 008,9,Mixed or Multiple ethnic groups: White and Asian,97
E02000009,Barking and Dagenham 008,10,Mixed or Multiple ethnic groups: White and Black African,152
E02000009,Barking and Dagenham 008,11,Mixed or Multiple ethnic groups: White and Black Caribbean,180
E02000009,Barking and Dagenham 008,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,189
E02000009,Barking and Dagenham 008,13,"White: English, Welsh, Scottish, Northern Irish or British",3606
E02000009,Barking and Dagenham 008,14,White: Irish,50
E02000009,Barking and Dagenham 008,15,White: Gypsy or Irish Traveller,7
E02000009,Barking and Dagenham 008,16,White: Roma,36
E02000009,Barking and Dagenham 008,17,White: Other White,1969
E02000009,Barking and Dagenham 008,18,Other ethnic group: Arab,74
E02000009,Barking and Dagenham 008,19,Other ethnic group: Any other ethnic group,458
E02000010,Barking and Dagenham 009,-8,Does not apply,0
E02000010,Barking and Dagenham 009,1,"Asian, Asian British or Asian Welsh: Bangladeshi",636
E02000010,Barking and Dagenham 009,2,"Asian, Asian British or Asian Welsh: Chinese",21
E02000010,Barking and Dagenham 009,3,"Asian, Asian British or Asian Welsh: Indian",240
E02000010,Barking and Dagenham 009,4,"Asian, Asian British or Asian Welsh: Pakistani",307
E02000010,Barking and Dagenham 009,5,"Asian, Asian British or Asian Welsh: Other Asian",287
E02000010,Barking and Dagenham 009,6,"Black, Black British, Black Welsh, Caribbean or African: African",1487
E02000010,Barking and Dagenham 009,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",168
E02000010,Barking and Dagenham 009,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",231
E02000010,Barking and Dagenham 009,9,Mixed or Multiple ethnic groups: White and Asian,62
E02000010,Barking and Dagenham 009,10,Mixed or Multiple ethnic groups: White and Black African,77
E02000010,Barking and Dagenham 009,11,Mixed or Multiple ethnic groups: White and Black Caribbean,133
E02000010,Barking and Dagenham 009,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,107
E02000010,Barking and Dagenham 009,13,"White: English, Welsh, Scottish, Northern Irish or British",3924
E02000010,Barking and Dagenham 009,14,White: Irish,57
E02000010,Barking and Dagenham 009,15,White: Gypsy or Irish Traveller,14
E02000010,Barking and Dagenham 009,16,White: Roma,23
E02000010,Barking and Dagenham 009,17,White: Other White,1414
E02000010,Barking and Dagenham 009,18,Other ethnic group: Arab,58
E02000010,Barking and Dagenham 009,19,Other ethnic group: Any other ethnic group,240
E02000011,Barking and Dagenham 010,-8,Does not apply,0
E02000011,Barking and Dagenham 010,1,"Asian, Asian British or Asian Welsh: Bangladeshi",811
E02000011,Barking and Dagenham 010,2,"Asian, Asian British or Asian Welsh: Chinese",66
E02000011,Barking and Dagenham 010,3,"Asian, Asian British or Asian Welsh: Indian",223
E02000011,Barking and Dagenham 010,4,"Asian, Asian British or Asian Welsh: Pakistani",215
E02000011,Barking and Dagenham 010,5,"Asian, Asian British or Asian Welsh: Other Asian",215
E02000011,Barking and Dagenham 010,6,"Black, Black British, Black Welsh, Caribbean or African: African",1056
E02000011,Barking and Dagenham 010,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",151
E02000011,Barking and Dagenham 010,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",195
E02000011,Barking and Dagenham 010,9,Mixed or Multiple ethnic groups: White and Asian,51
E02000011,Barking and Dagenham 010,10,Mixed or Multiple ethnic groups: White and Black African,49
E02000011,Barking and Dagenham 010,11,Mixed or Multiple ethnic groups: White and Black Caribbean,73
E02000011,Barking and Dagenham 010,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,61
E02000011,Barking and Dagenham 010,13,"White: English, Welsh, Scottish, Northern Irish or British",2554
E02000011,Barking and Dagenham 010,14,White: Irish,54
E02000011,Barking and Dagenham 010,15,White: Gypsy or Irish Traveller,8
E02000011,Barking and Dagenham 010,16,White: Roma,57
E02000011,Barking and Dagenham 010,17,White: Other White,957
E02000011,Barking and Dagenham 010,18,Other ethnic group: Arab,46
E02000011,Barking and Dagenham 010,19,Other ethnic group: Any other ethnic group,187
E02000012,Barking and Dagenham 011,-8,Does not apply,0
E02000012,Barking and Dagenham 011,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4096
E02000012,Barking and Dagenham 011,2,"Asian, Asian British or Asian Welsh: Chinese",88
E02000012,Barking and Dagenham 011,3,"Asian, Asian British or Asian Welsh: Indian",867
